"","inchikey","subclass"
"186","InChIKey=FFEARJCKVFRZRR-UHFFFAOYSA-N","Organic acids and derivatives"
"187","InChIKey=UYTPUPDQBNUYGX-UHFFFAOYSA-N","Organoheterocyclic compounds"
"188","InChIKey=RZVAJINKPMORJF-UHFFFAOYSA-N","Benzenoids"
"189","InChIKey=JLQSXXWTCJPCBC-UHFFFAOYSA-N","Organoheterocyclic compounds"
"190","InChIKey=KTLRWTOPTKGYQY-UHFFFAOYSA-N","Organoheterocyclic compounds"
"191","InChIKey=RNKSNIBMTUYWSH-YFKPBYRVSA-N","Organic acids and derivatives"
"192","InChIKey=HNDVDQJCIGZPNO-YFKPBYRVSA-N","Organic acids and derivatives"
"193","InChIKey=PHIQHXFUZVPYII-ZCFIWIBFSA-N","Organic nitrogen compounds"
"194","InChIKey=OYIFNHCXNCRBQI-UHFFFAOYSA-N","Organic acids and derivatives"
"195","InChIKey=SNICXCGAKADSCV-JTQLQIEISA-N","Organoheterocyclic compounds"
"196","InChIKey=WAMKWBHYPYBEJY-UHFFFAOYSA-N","Organic oxygen compounds"
"197","InChIKey=FZWGECJQACGGTI-UHFFFAOYSA-N","Organoheterocyclic compounds"
"198","InChIKey=YNYAYWLBAHXHLL-UHFFFAOYSA-N","Benzenoids"
"199","InChIKey=COLNVLDHVKWLRT-QMMMGPOBSA-N","Organic acids and derivatives"
"200","InChIKey=QEFRNWWLZKMPFJ-UHFFFAOYSA-N","Organic acids and derivatives"
"201","InChIKey=RADKZDMFGJYCBB-UHFFFAOYSA-N","Organoheterocyclic compounds"
"202","InChIKey=NHZMQXZHNVQTQA-UHFFFAOYSA-N","Organoheterocyclic compounds"
"203","InChIKey=NHZMQXZHNVQTQA-UHFFFAOYSA-N","Organoheterocyclic compounds"
"204","InChIKey=BRMWTNUJHUMWMS-LURJTMIESA-N","Organic acids and derivatives"
"205","InChIKey=JDHILDINMRGULE-LURJTMIESA-N","Organic acids and derivatives"
"206","InChIKey=NRXIKWMTVXPVEF-BYPYZUCNSA-N","Organic acids and derivatives"
"207","InChIKey=ODKSFYDXXFIFQN-BYPYZUCNSA-N","Organic acids and derivatives"
"208","InChIKey=XXEWFEBMSGLYBY-UHFFFAOYSA-N","Organic acids and derivatives"
"209","InChIKey=RHGKLRLOHDJJDR-BYPYZUCNSA-N","Organic acids and derivatives"
"210","InChIKey=OUYCCCASQSFEME-QMMMGPOBSA-N","Organic acids and derivatives"
"211","InChIKey=YHHSONZFOIEMCP-UHFFFAOYSA-O","Organic nitrogen compounds"
"212","InChIKey=VEYYWZRYIYDQJM-ZETCQYMHSA-N","Organic acids and derivatives"
"213","InChIKey=QUOGESRFPZDMMT-YFKPBYRVSA-N","Organic acids and derivatives"
"214","InChIKey=MXNRLFUSFKVQSK-QMMMGPOBSA-N","Organic acids and derivatives"
"215","InChIKey=FXDNYOANAXWZHG-VKHMYHEASA-N","Organic acids and derivatives"
"216","InChIKey=USRGIUJOYOXOQJ-SCQFTWEKSA-N","Organic acids and derivatives"
"217","InChIKey=STEYNUVPFMIUOY-UHFFFAOYSA-N","Organoheterocyclic compounds"
"218","InChIKey=YDGMGEXADBMOMJ-LURJTMIESA-N","Organic acids and derivatives"
"219","InChIKey=OVRNDRQMDRJTHS-JAJWTYFOSA-N","Organic oxygen compounds"
"220","InChIKey=MBLBDJOUHNCFQT-WCTZXXKLSA-N","Organic oxygen compounds"
"221","InChIKey=RDHQFKQIGNGIED-MRVPVSSYSA-N","Lipids and lipid-like molecules"
