"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cntnap23",1.83233455191131e-11,0.365492973514661,0.993,0.946,6.38880088214918e-07,"6","Cntnap2"
"Gm433761",2.09484606675533e-11,0.334145851860025,0.511,0.353,7.3040997809558e-07,"6","Gm43376"
"Mmp162",2.18744243743476e-11,0.336070327781283,0.821,0.66,7.62695554660379e-07,"6","Mmp16"
"Gm206961",2.20233644016347e-11,0.28869990431006,0.473,0.312,7.67888646591796e-07,"6","Gm20696"
"Scaper1",3.20653478604897e-11,0.264027026981307,0.663,0.479,1.11802248385169e-06,"6","Scaper"
"Gm490031",3.88877931585327e-11,0.279280722919373,0.36,0.223,1.35590068405856e-06,"6","Gm49003"
"Dst1",4.22666546257347e-11,0.258543818028933,0.921,0.773,1.47371144683549e-06,"6","Dst"
"Xkr62",4.56068451501979e-11,0.267966397147702,0.701,0.519,1.59017386985195e-06,"6","Xkr6"
"Fat31",4.5760040070809e-11,0.257871478425168,0.602,0.425,1.5955153171489e-06,"6","Fat3"
"Ptprj1",5.79218853453636e-11,0.331928576183649,0.588,0.427,2.01956237633679e-06,"6","Ptprj"
"Epb41l11",5.84269828498428e-11,0.296992899051701,0.633,0.466,2.03717361102547e-06,"6","Epb41l1"
"Gm43889",7.99017586131479e-11,0.262486911128257,0.335,0.204,2.78593461756463e-06,"6","Gm43889"
"Scai1",1.92533005718943e-10,0.294866338792479,0.604,0.451,6.71304831040237e-06,"6","Scai"
"Gpr1581",2.17714710156249e-10,0.429165828825833,0.79,0.703,7.59105879901794e-06,"6","Gpr158"
"Ptprn3",2.4706141494661e-10,0.275370854215893,0.765,0.607,8.61429035494345e-06,"6","Ptprn"
"Slc22a232",3.3057863591829e-10,0.542313650863592,0.423,0.301,1.1526285298563e-05,"6","Slc22a23"
"Ripk2",4.55138934467261e-10,0.288904566164309,0.258,0.15,1.586932922807e-05,"6","Ripk2"
"Tnik1",4.77950039202064e-10,0.257506127955359,0.889,0.786,1.66646840168584e-05,"6","Tnik"
"Gm69942",5.39272351346749e-10,0.257408207814826,0.369,0.233,1.88028090744071e-05,"6","Gm6994"
"Crtac11",5.96424680045229e-10,0.387196607249339,0.373,0.244,2.0795539319137e-05,"6","Crtac1"
"Homer22",6.20687184156771e-10,0.250539889272312,0.41,0.261,2.16415000499941e-05,"6","Homer2"
"Chd5",1.03998000929767e-09,0.254484567543172,0.534,0.386,3.6260982984182e-05,"6","Chd5"
"mt-Co1",1.68024482518518e-09,0.27862027444461,0.439,0.301,5.85850963197318e-05,"6","mt-Co1"
"Ptprt1",2.23802887729291e-09,0.668129461379569,0.561,0.441,7.8033352864572e-05,"6","Ptprt"
"Tro1",3.0061676679251e-09,0.260820471163617,0.586,0.439,0.000104816048077545,"6","Tro"
"mt-Nd2",4.80421029012155e-09,0.413252961765306,0.713,0.603,0.000167508400185668,"6","mt-Nd2"
"Lrrfip11",5.46398156977488e-09,0.283571647906346,0.672,0.532,0.000190512645393341,"6","Lrrfip1"
"Dtnb",7.17185196869359e-09,0.284371530321365,0.64,0.498,0.000250060962592439,"6","Dtnb"
"Smarca1",1.0016925173987e-08,0.277852442606775,0.394,0.265,0.000349260130041406,"6","Smarca1"
"Galnt71",1.1371213408984e-08,0.306988589261206,0.373,0.253,0.000396480097931044,"6","Galnt7"
"Ccdc85a1",1.14435164098716e-08,0.26923199656352,0.67,0.529,0.000399001086662992,"6","Ccdc85a"
"Gm26954",1.50466581202334e-08,0.253654011260796,0.303,0.191,0.000524631828678178,"6","Gm26954"
"mt-Rnr11",3.44506553865329e-08,0.327835335885129,0.848,0.727,0.00120119100136224,"6","mt-Rnr1"
"Lin28b1",7.65858838939299e-08,0.25050716605603,0.382,0.263,0.00267032001372966,"6","Lin28b"
"Cdh182",4.98308630760494e-07,0.640546925665558,0.523,0.431,0.0173745270287262,"6","Cdh18"
"ENSMUSG000001215131",1.01137221408923e-06,0.381875971952663,0.715,0.671,0.0352635149886493,"6","ENSMUSG00000121513"
"Ptprm2",2.22733046831157e-06,0.290908824981546,0.844,0.724,0.0776603314386197,"6","Ptprm"
"Gabrb22",2.36656625659994e-06,0.269650339791037,0.744,0.628,0.0825150656688702,"6","Gabrb2"
"mt-Rnr2",5.72330083242911e-05,0.313496639154256,0.896,0.831,1,"6","mt-Rnr2"
"Pcdh192",0.000108216675115933,0.295349970986853,0.267,0.196,1,"6","Pcdh19"
"Col19a13",0.0063494372171165,0.450200922629716,0.516,0.486,1,"6","Col19a1"
"2610307P16Rik",0,3.4308923312919,0.66,0.02,0,"7","2610307P16Rik"
"Gm29260",0,2.77366156039367,0.299,0.004,0,"7","Gm29260"
"Igfbpl1",0,2.53069046796374,0.511,0.011,0,"7","Igfbpl1"
"Meis21",8.90458132647665e-267,3.34882930277212,0.974,0.195,3.10476037110261e-262,"7","Meis2"
"Foxp2",9.50760071458789e-233,3.34897152486289,0.451,0.034,3.31501514115536e-228,"7","Foxp2"
"Zbtb201",1.14526246313401e-136,2.9293989227676,0.937,0.484,3.99318663020935e-132,"7","Zbtb20"
"Nfib2",2.69382964100841e-119,2.26435606907733,0.918,0.436,9.39257580930401e-115,"7","Nfib"
"Tiam21",1.895495405615e-107,2.91421024111615,0.582,0.153,6.60902383075783e-103,"7","Tiam2"
"Nnat",3.68089384982153e-104,2.49574037879418,0.556,0.138,1.28341725861727e-99,"7","Nnat"
"Sdk21",1.93019757903488e-100,2.26837547899597,0.556,0.141,6.73001989882093e-96,"7","Sdk2"
"Gm17750",4.06937833045194e-100,1.9040640644352,0.343,0.049,1.41887014247868e-95,"7","Gm17750"
"Auts21",7.29201863807697e-99,1.47043172459997,0.989,0.959,2.5425081385383e-94,"7","Auts2"
"Nfia1",2.70784050097296e-95,2.74490491511377,0.552,0.15,9.44142747474242e-91,"7","Nfia"
"Sox2ot2",2.50100155570171e-89,2.60413944323664,0.892,0.766,8.72024212426516e-85,"7","Sox2ot"
"Vcan1",1.56223750245537e-88,1.99913348059731,0.369,0.065,5.44705349981112e-84,"7","Vcan"
"Chd7",5.36487657398768e-88,1.86375806379145,0.354,0.059,1.87057151505228e-83,"7","Chd7"
"G630016G05Rik",3.78817802419295e-84,1.43477151125091,0.25,0.029,1.32082403169536e-79,"7","G630016G05Rik"
"Pbx11",1.03718781062746e-83,1.94359531139845,0.899,0.686,3.61636273931477e-79,"7","Pbx1"
"Gm385052",8.00578713868205e-83,2.66032600637884,0.817,0.542,2.79137780164427e-78,"7","Gm38505"
"Nol41",8.01146132361391e-83,2.27426095204304,0.877,0.721,2.79335621970446e-78,"7","Nol4"
"Plcl1",2.51255962706043e-81,2.43102412103693,0.735,0.363,8.76054165167161e-77,"7","Plcl1"
"Mpped21",8.95639947453922e-73,2.36757822719109,0.72,0.384,3.12282780478759e-68,"7","Mpped2"
"Tead1",9.82141026943649e-70,2.01420177824567,0.414,0.103,3.42443111864442e-65,"7","Tead1"
"Pbx31",2.70652503537639e-68,2.8011428493995,0.578,0.207,9.43684084084686e-64,"7","Pbx3"
"Nrxn33",6.66372272258011e-67,1.19619922522239,0.978,0.992,2.32344020168201e-62,"7","Nrxn3"
"Sox11",1.48484885916751e-66,1.98037828571609,0.358,0.08,5.17722251725937e-62,"7","Sox11"
"Sox4",4.69131504219724e-66,1.74303042247796,0.351,0.075,1.63572081576291e-61,"7","Sox4"
"Gm42581",1.05667960128439e-63,2.14091915244021,0.772,0.551,3.68432476579829e-59,"7","Gm4258"
"Tshz2",1.60130769754117e-62,1.95782691037486,0.272,0.048,5.58327954901681e-58,"7","Tshz2"
