"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"67","Mt1",2.2592020386228e-08,0.361102046592349,0.455,0.343,0.000787715974806611,0.361102046592349,0.011104365014369,-0.219926305169952,0.423,0.455,1,-0.219926305169952,"non-sig","#00AFBB"
"68","Mybpc1",3.71925975634498e-08,0.443489625099997,0.028,0.001,0.0012967942992448,0.443489625099997,0.0115710274041719,-0.250532446547478,0.015,0.028,1,-0.250532446547478,"non-sig","#00AFBB"
"69","Naaladl2",1.44736438177705e-07,0.36063803247232,0.403,0.299,0.00504652538994205,0.36063803247232,0.000967542004912633,-0.257063293303873,0.347,0.403,1,-0.257063293303873,"non-sig","#00AFBB"
"70","Nalcn",9.83881783606427e-09,0.362395722514648,0.159,0.083,0.000343050061490053,0.362395722514648,6.27394015783957e-09,-0.361360417884485,0.088,0.159,0.000218753471483392,-0.361360417884485,"sig","#E7B800"
"71","Npas3",3.60251222665495e-15,-0.298336286177841,0.823,0.891,1.25608793806778e-10,-0.298336286177841,2.48123539223948e-18,0.290560356873674,0.896,0.823,8.6513234421214e-14,0.290560356873674,"sig","#E7B800"
"72","Nr2f2",5.561721273224e-07,0.388027855765448,0.073,0.029,0.0193920535633501,0.388027855765448,7.89619409809086e-05,-0.256620645148242,0.039,0.073,1,-0.256620645148242,"non-sig","#00AFBB"
"73","Nrcam",3.80988948228544e-08,-0.266050847825242,0.684,0.742,0.00132839416578846,-0.266050847825242,1.10464939278529e-08,0.256611802695956,0.757,0.684,0.000385158103782446,0.256611802695956,"sig","#E7B800"
"74","Nrg3",2.17828796731252e-07,-0.325028115364606,0.275,0.351,0.00759503665562857,-0.325028115364606,0.150383372033856,0.0437234964675504,0.299,0.275,1,0.0437234964675504,"non-sig","#00AFBB"
"75","Nrgn",1.32167504647361e-10,-0.350765582759362,0.501,0.595,4.60828438453955e-06,-0.350765582759362,0.00395098640887411,0.131011099825991,0.542,0.501,1,0.131011099825991,"non-sig","#00AFBB"
"76","Ntm",4.00927876956161e-11,-0.203641345514991,0.884,0.935,1.39791522858305e-06,-0.203641345514991,2.30340265011606e-13,0.207269947827945,0.921,0.884,8.03127402015965e-09,0.207269947827945,"sig","#E7B800"
"77","Nxn",9.83618898457488e-07,0.27308692205243,0.332,0.234,0.0342958401325172,0.27308692205243,0.255984476361076,-0.0423287067172087,0.309,0.332,1,-0.0423287067172087,"non-sig","#00AFBB"
"78","Ogn",4.61014973783359e-07,0.222980081923682,0.047,0.012,0.0160742090909044,0.222980081923682,8.59169886893099e-10,-0.260605186407157,0.009,0.047,2.99566764463017e-05,-0.260605186407157,"sig","#E7B800"
"79","Pcyt2",3.5492704192565e-15,-0.547529453785815,0.304,0.424,1.23752411708216e-10,-0.547529453785815,0.532545521327603,0.00891593726227713,0.318,0.304,1,0.00891593726227713,"non-sig","#00AFBB"
"80","Pdgfd",7.7252012381509e-08,0.397760246726229,0.17,0.096,0.00269354591570607,0.397760246726229,0.000227049567221812,-0.246305128613156,0.121,0.17,1,-0.246305128613156,"non-sig","#00AFBB"
"81","Per2",4.05750526155697e-07,0.242969529451898,0.138,0.074,0.0141473035954707,0.242969529451898,3.17094547498614e-05,-0.209261239299017,0.089,0.138,1,-0.209261239299017,"non-sig","#00AFBB"
"82","Phka1",2.1834324394188e-12,0.4213223776648,0.552,0.411,7.61297388652154e-08,0.4213223776648,0.748801754282296,0.0263996602229621,0.547,0.552,1,0.0263996602229621,"non-sig","#00AFBB"
"83","Phldb2",3.24238505110521e-07,0.492175073395605,0.149,0.084,0.0113052239576885,0.492175073395605,7.32075504849081e-08,-0.501050108415553,0.087,0.149,0.00255252766275729,-0.501050108415553,"sig","#E7B800"
"84","Pigk",1.48022330756382e-09,-0.401581979654523,0.477,0.563,5.16109460648277e-05,-0.401581979654523,0.00588192685295542,0.167421516429813,0.517,0.477,1,0.167421516429813,"non-sig","#00AFBB"
"85","Pitpnm2",4.26679912600218e-08,0.308562764460803,0.174,0.098,0.00148770485126318,0.308562764460803,0.0301430029009664,-0.12123885118039,0.145,0.174,1,-0.12123885118039,"non-sig","#00AFBB"
"86","Plcb4",4.86900764973147e-08,0.290276991409436,0.432,0.321,0.00169767689723187,0.290276991409436,0.0244613978686143,-0.144496965665783,0.393,0.432,1,-0.144496965665783,"non-sig","#00AFBB"
"87","Plce1",2.60657636862709e-17,0.807141981027467,0.215,0.096,9.08834982449208e-13,0.807141981027467,0.000134850869658087,-0.280490494760999,0.16,0.215,1,-0.280490494760999,"non-sig","#00AFBB"
"88","Plcl1",1.02817664351179e-09,0.396103477242249,0.52,0.395,3.58494350293255e-05,0.396103477242249,0.00452114142534131,-0.223773784334328,0.474,0.52,1,-0.223773784334328,"non-sig","#00AFBB"
"89","Pld1",3.00363200506873e-07,0.319620714210098,0.175,0.103,0.0104727637120732,0.319620714210098,0.00444605977133701,-0.14218096018728,0.136,0.175,1,-0.14218096018728,"non-sig","#00AFBB"
"90","Prr5",5.54700211169285e-07,0.216890318941901,0.105,0.05,0.0193407322628395,0.216890318941901,0.0512054692283511,-0.0606661709352967,0.083,0.105,1,-0.0606661709352967,"non-sig","#00AFBB"
"91","Ptgds",2.71295068460166e-10,0.559899933990659,0.552,0.417,9.45924515200061e-06,0.559899933990659,0.000663292096069365,-0.201257844060245,0.496,0.552,1,-0.201257844060245,"non-sig","#00AFBB"
"92","Ptprd",4.50230995585932e-08,-0.255687911194204,0.62,0.67,0.00156982041230947,-0.255687911194204,0.0476282912625,0.0771601506833788,0.642,0.62,1,0.0771601506833788,"non-sig","#00AFBB"
"93","Qki",2.44181523661563e-11,0.265446332230986,0.888,0.865,8.51387718550773e-07,0.265446332230986,1.63447101816533e-18,0.286020529942066,0.926,0.888,5.69891009903705e-14,0.286020529942066,"sig","#E7B800"
"94","Rgs6",5.03958930655633e-11,-0.381490066668559,0.548,0.639,1.757153603517e-06,-0.381490066668559,5.27034245389605e-09,0.304174842309342,0.635,0.548,0.000183761030339994,0.304174842309342,"sig","#E7B800"
"95","Rgs7",2.12387484061689e-18,-0.45571131522152,0.654,0.751,7.4053144067789e-14,-0.45571131522152,5.35910112055134e-08,0.259608826969539,0.724,0.654,0.00186855778770264,0.259608826969539,"sig","#E7B800"
"96","Rmst",1.25802029877485e-06,0.366537395097471,0.566,0.496,0.0438633937573827,0.366537395097471,0.794421867823354,-0.0821452211368725,0.579,0.566,1,-0.0821452211368725,"non-sig","#00AFBB"
"97","Rn18s-rs5",1.57093619034349e-81,-0.425452553190147,0.999,1,5.47738321487066e-77,-0.425452553190147,3.06567296650467e-11,-0.172799140457687,0.999,0.999,1.06890819323118e-06,-0.172799140457687,"sig","#E7B800"
"98","Rora",1.8502250626294e-37,0.398755447398694,0.983,0.97,6.45117972586991e-33,0.398755447398694,4.3756541822389e-13,-0.219259394871756,0.974,0.983,1.52565934372124e-08,-0.219259394871756,"sig","#E7B800"
