,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Prkar1b,2.80E-17,-0.15994884,0.555,0.595,9.78E-13,,Smarca4,Smarca4,0.006884971,1
Astn2,3.25E-17,-0.161251359,0.658,0.697,1.13E-12,,Ppara,Ppara,0.00449404,1
Gm49003,3.38E-17,0.113572203,0.234,0.164,1.18E-12,,Foxl2,Foxl2,0,1
Gm27032,3.45E-17,-0.163020575,0.456,0.511,1.20E-12,,Pbx1,Pbx1,0.130151652,2.20556E-07
St6galnac3,5.06E-17,-0.177005993,0.508,0.563,1.77E-12,,Cebpb,Cebpb,0.002547911,1
Cpne4,6.13E-17,0.268166694,0.566,0.49,2.14E-12,,Smc1a,Smc1a,0.058218152,1
Gm1604a,6.27E-17,0.08044667,0.071,0.035,2.19E-12,,Epop,Epop,0.000487301,1
Cadps,7.28E-17,0.120528798,0.948,0.97,2.54E-12,,Runx3,Runx3,0.000762364,1
Cst3,7.62E-17,0.314301974,0.614,0.522,2.66E-12,,Ptf1a,#N/A,,
Gm12394,8.74E-17,0.198157569,0.738,0.69,3.05E-12,,Phf19,Phf19,-0.002698315,1
Gm33228,9.22E-17,-0.224247697,0.403,0.459,3.21E-12,,Zic2,Zic2,0.004059691,1
Ndst3,9.91E-17,0.214686943,0.565,0.489,3.46E-12,,Tbr1,Tbr1,0.001997521,1
Kif5c,1.09E-16,-0.135571435,0.679,0.709,3.78E-12,,Baz1b,Baz1b,0.055717991,1
Dnah17,1.32E-16,0.072471444,0.071,0.035,4.61E-12,,Phf5a,Phf5a,-0.009943535,1
Gm26691,1.36E-16,0.177591769,0.418,0.33,4.73E-12,,Olig2,Olig2,-0.00367968,1
Nwd2,2.11E-16,-0.189783599,0.564,0.616,7.36E-12,,Neurod2,Neurod2,-0.02911857,1
Inf2,2.41E-16,-0.188200904,0.192,0.252,8.39E-12,,Mxi1,Mxi1,0.001869576,1
Ywhag,2.78E-16,-0.140479126,0.599,0.634,9.70E-12,,Chaf1b,Chaf1b,0.002894246,1
Cdh7,2.95E-16,0.215448353,0.343,0.272,1.03E-11,,Myog,Myog,-0.000773841,1
Rgs7,3.03E-16,-0.12439708,0.883,0.909,1.06E-11,,Srf,Srf,-0.010788749,1
Hnmt,3.20E-16,0.089020935,0.151,0.096,1.12E-11,,Nelfe,Nelfe,-0.004304458,1
Gm21860,3.20E-16,0.034552181,0.019,0.003,1.12E-11,,Hoxd13,#N/A,,
Ftx,3.32E-16,0.155828239,0.687,0.606,1.16E-11,,Snai1,Snai1,-4.32886E-05,1
Gm37340,4.17E-16,-0.160155938,0.64,0.692,1.46E-11,,Cdx2,#N/A,,
Arhgef28,4.51E-16,0.178939523,0.323,0.248,1.57E-11,,Ar,Ar,-0.003357042,1
Hs6st3,4.76E-16,-0.310013733,0.709,0.737,1.66E-11,,Asxl1,Asxl1,-0.037692405,1
Gpm6b,5.92E-16,-0.129353136,0.869,0.903,2.06E-11,,Rfx3,Rfx3,0.212040926,0.023532822
Cdhr1,5.92E-16,0.082854332,0.025,0.006,2.06E-11,,Brd4,Brd4,-0.034583097,1
Pkp2,6.11E-16,0.079484537,0.12,0.072,2.13E-11,,Ogt,Ogt,-0.064302547,1
Chrm3,6.76E-16,-0.122503309,0.718,0.802,2.36E-11,,Sp7,Sp7,0.000462498,1
Crim1,1.15E-15,0.139383862,0.31,0.237,3.99E-11,,Capg,Capg,-0.000226019,1
Btg2,1.37E-15,-0.138946946,0.065,0.108,4.79E-11,,Nfib,Nfib,-0.044240219,1
Frmd5,1.40E-15,-0.12828198,0.726,0.761,4.87E-11,,Nfia,Nfia,0.04369922,1
4933412O06Rik,1.73E-15,0.091503792,0.158,0.104,6.02E-11,,Utf1,Utf1,0,1
Rnf207,1.76E-15,0.090708352,0.15,0.097,6.15E-11,,Max,Max,0.003676505,1
Scube1,1.77E-15,-0.203999443,0.312,0.372,6.16E-11,,Nsd3,Nsd3,-0.059210553,1
Slco3a1,1.92E-15,0.146039321,0.418,0.331,6.70E-11,,Thap1,Thap1,0.013849179,1
Gm7916,2.01E-15,0.027859176,0.012,0,7.02E-11,,Erg,Erg,-0.005755596,1
Gm48006,2.07E-15,0.086774155,0.128,0.08,7.22E-11,,Myc,Myc,-0.001984003,1
Meis2,2.25E-15,0.2687215,0.719,0.681,7.83E-11,,Ikzf1,Ikzf1,0.011545058,1
Egr3,2.31E-15,-0.130602585,0.071,0.115,8.07E-11,,Phf6,Phf6,0.040998932,1
Dpp10,2.44E-15,-0.105650678,0.954,0.975,8.49E-11,,Tcf7l1,Tcf7l1,-0.012615262,1
Osbpl3,2.72E-15,-0.161241777,0.377,0.435,9.47E-11,,Cbx3,Cbx3,0.039854874,1
Gpm6a,3.56E-15,0.162315423,0.902,0.883,1.24E-10,,Ccny,Ccny,0.011439852,1
Gm44829,3.75E-15,0.176429366,0.778,0.736,1.31E-10,,Kdm4a,Kdm4a,-0.00711568,1
Vstm2a,3.89E-15,0.162203602,0.434,0.35,1.36E-10,,Smc5,Smc5,-0.001980905,1
Khdrbs2,3.95E-15,0.207459028,0.816,0.789,1.38E-10,,Hnrnpu,Hnrnpu,-0.09359229,4.49407E-06
Slc2a13,4.62E-15,-0.175857079,0.633,0.664,1.61E-10,,Osr1,Osr1,-0.00748914,1
Pdgfc,5.19E-15,0.142786778,0.308,0.235,1.81E-10,,Arid3a,Arid3a,-0.005532996,1
Dgkz,5.35E-15,-0.153805177,0.574,0.612,1.87E-10,,Btaf1,Btaf1,-0.061096882,1
Dok5,6.26E-15,-0.192657118,0.249,0.303,2.18E-10,,Kat8,Kat8,0.010550213,1
3110039M20Rik,6.37E-15,0.105755774,0.217,0.154,2.22E-10,,Hdac1,Hdac1,0.006796192,1
Ralyl,6.38E-15,-0.086887353,0.911,0.941,2.22E-10,,Ebf2,Ebf2,0.010006987,1
Ptprj,6.77E-15,-0.117210996,0.715,0.747,2.36E-10,,Sox3,Sox3,-0.000194172,1
ENSMUSG00000121207,6.80E-15,0.071030381,0.098,0.057,2.37E-10,,Zic3,Zic3,0.000764375,1
Srrm4os,7.05E-15,0.099852762,0.226,0.163,2.46E-10,,Mta2,Mta2,0.021159304,1
5330434G04Rik,7.21E-15,0.172832651,0.645,0.57,2.51E-10,,Neurog2,Neurog2,-0.004551636,1
Gm15336,7.57E-15,0.161113148,0.33,0.257,2.64E-10,,Prdm13,#N/A,,
Plcl2,7.84E-15,-0.147528309,0.671,0.705,2.73E-10,,Smarcc1,Smarcc1,-0.000253882,1
Gpatch8,8.17E-15,0.124742114,0.869,0.856,2.85E-10,,Tcf7,Tcf7,-0.005465688,1
mt-Co3,8.71E-15,0.097276451,0.124,0.077,3.04E-10,,Sirt6,Sirt6,2.67195E-05,1
Lingo1,9.18E-15,-0.142858821,0.592,0.627,3.20E-10,,Nfkb1,Nfkb1,0.020566305,1
Skap1,9.24E-15,-0.084353382,0.061,0.103,3.22E-10,,Rag1,Rag1,0,1
Fam13a,9.60E-15,0.110323421,0.265,0.197,3.35E-10,,Dpy30,Dpy30,0.013231376,1
Ciart,1.08E-14,0.06880945,0.106,0.064,3.76E-10,,Runx2,Runx2,-0.03980899,1
Arnt2,1.10E-14,-0.14169631,0.553,0.596,3.82E-10,,Tbx3,Tbx3,-0.000919381,1
Pacsin1,1.14E-14,-0.14417907,0.758,0.783,3.96E-10,,Kdm5c,Kdm5c,0.078589134,0.055204638
Synpr,1.47E-14,0.240596089,0.31,0.244,5.13E-10,,Smad4,Smad4,-0.000160436,1
Gm16204,1.54E-14,-0.103169384,0.065,0.107,5.36E-10,,Dmc1,Dmc1,0.020118901,1
Gm17382,1.54E-14,0.061294438,0.074,0.039,5.38E-10,,Isx,Isx,0.002557064,1
Rbms3,1.77E-14,0.230194781,0.341,0.268,6.15E-10,,Stat5b,Stat5b,0.022900784,1
Dipk2a,1.84E-14,0.09302129,0.138,0.09,6.40E-10,,Notch1,Notch1,0.003239807,1
Myo1b,2.37E-14,-0.157963856,0.226,0.282,8.27E-10,,Shox2,#N/A,,
Inpp4b,2.40E-14,0.249781177,0.291,0.229,8.36E-10,,Med12,Med12,-0.011344311,1
Smad7,3.67E-14,-0.150704056,0.158,0.21,1.28E-09,,Etv5,Etv5,-0.340766427,8.21491E-45
Gm34299,3.68E-14,0.069761543,0.065,0.033,1.28E-09,,Gps2,Gps2,0.032984872,1
Mark1,4.14E-14,-0.153897579,0.5,0.542,1.44E-09,,Usf2,Usf2,0.00535251,1
Gm28153,4.27E-14,0.08680546,0.101,0.061,1.49E-09,,Tgif1,Tgif1,0.000758643,1
Hacd4,4.31E-14,0.137035336,0.258,0.192,1.50E-09,,Kdm6a,Kdm6a,0.129144292,1.40417E-06
