,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,Targets of Pbx3,,,
Ank2,5.05E-06,-0.169687274,0.886,0.926,0.176045605,,Brd9,Brd9,0.056744723,1
Nhsl1,5.44E-06,-0.316861551,0.513,0.562,0.189512562,,Nfe2l2,Nfe2l2,0.071270773,1
Sparcl1,5.69E-06,0.199717931,0.805,0.758,0.198537599,,Cxxc1,Cxxc1,0.008956415,1
Lama2,5.74E-06,0.24091343,0.678,0.603,0.200304093,,Jarid2,Jarid2,-0.179874031,1
Bach2,6.92E-06,-0.283481355,0.425,0.489,0.241383183,,Utp6,Utp6,0.148063911,1
A330093E20Rik,7.14E-06,0.263789869,0.144,0.085,0.24901713,,Kat5,Kat5,-0.007663294,1
Adcy2,7.38E-06,-0.283687976,0.558,0.612,0.257284417,,Zfx,Zfx,0.030738131,1
Pbx3,7.60E-06,0.292558273,0.141,0.084,0.265027545,,Crebbp,Crebbp,-0.047263649,1
Pbx1,7.66E-06,-0.152617539,0.798,0.824,0.267036382,,E2f1,E2f1,0.000644155,1
Cyp7b1,8.33E-06,0.209436464,0.274,0.192,0.290374578,,Tbpl1,Tbpl1,-0.041278869,1
Gdpd4,9.32E-06,0.338245211,0.021,0.002,0.324821969,,Yy1,Yy1,-0.052672262,1
Fhit,9.37E-06,0.296553131,0.427,0.337,0.32653095,,Nkx2-1,Nkx2-1,0,1
Fnbp1,9.59E-06,-0.236122771,0.604,0.647,0.334215074,,Mtf2,Mtf2,0.035865464,1
Gli3,1.18E-05,-0.223559504,0.591,0.641,0.412834541,,Irf5,Irf5,-0.001138915,1
Ogdh,1.19E-05,0.23123635,0.224,0.15,0.414714378,,Taf12,Taf12,-0.124959239,1
Slc10a7,1.19E-05,0.220425045,0.199,0.132,0.415706561,,Ep400,Ep400,0.022449178,1
Dbt,1.23E-05,0.171235448,0.102,0.054,0.427150573,,Stat5a,Stat5a,-0.017820613,1
C1qtnf7,1.23E-05,0.276011919,0.056,0.022,0.427701143,,Irf4,Irf4,0,1
D630033O11Rik,1.25E-05,0.177997265,0.058,0.023,0.434316618,,Znf24,#N/A,,
Cklf,1.26E-05,0.178569909,0.062,0.026,0.44039086,,Rest,Rest,0.008114317,1
Adam12,1.35E-05,0.651927909,0.117,0.068,0.469907725,,Smarca5,Smarca5,-0.009157863,1
Glul,1.40E-05,0.214003547,0.717,0.638,0.489234799,,Dppa4,#N/A,,
Hsd17b11,1.60E-05,0.230573298,0.093,0.049,0.559391788,,Stat6,Stat6,0.023008215,1
Hlcs,1.62E-05,0.224377767,0.195,0.129,0.566005004,,Tox,Tox,-0.042306194,1
Sult1a1,1.63E-05,0.149577064,0.039,0.011,0.56823564,,Tet2,Tet2,-0.113041353,1
Slc1a3,1.71E-05,0.150130787,0.935,0.923,0.595512375,,Batf,Batf,0.002799265,1
Gm10974,1.72E-05,0.185923873,0.031,0.007,0.601365787,,Esr2,Esr2,0.00795894,1
Ciart,1.74E-05,0.164974228,0.067,0.03,0.608401067,,Foxo3,Foxo3,-0.028805997,1
Dpp10,1.75E-05,-0.116979912,0.335,0.39,0.61055467,,Trim33,Trim33,0.04638979,1
