,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,,hit in circadian DEG
Kcnk5,0.793808027,0.009362954,0.001,0,1,,
Synpo2l,0.793808027,0.006912849,0.001,0,1,,
Gm30108,0.793808027,0.00808135,0.001,0,1,,
Gm55136,0.793808027,0.005045417,0.001,0,1,,
Dusp29,0.793808027,0.005810204,0.001,0,1,,
Dusp13,0.793808027,0.008722382,0.001,0,1,,
4931407E12Rik,0.793808027,0.005118813,0.001,0,1,,
Gm7480,0.793808027,0.005762628,0.001,0,1,,
4930405A10Rik,0.793808027,0.009279007,0.001,0,1,,
Gm17105,0.793808027,0.01172853,0.001,0,1,,
Gm38408,0.793808027,0.015258038,0.001,0,1,,
ENSMUSG00000119950,0.793808027,0.003032848,0.001,0,1,,
4933413J09Rik,0.793808027,0.003384671,0.001,0,1,,
Gm2178,0.793808027,0.006646477,0.001,0,1,,
9930004E17Rik,0.793808027,0.00460681,0.001,0,1,,
Dnah12,0.793808027,0.009008203,0.001,0,1,,
Gm2670,0.793808027,0.004475558,0.001,0,1,,
Gm48004,0.793808027,0.008774584,0.001,0,1,,
Gm6043,0.793808027,0.011092589,0.001,0,1,,
Mustn1,0.793808027,0.004887051,0.001,0,1,,
Gm49252,0.793808027,0.008251916,0.001,0,1,,
Gm49270,0.793808027,0.010192886,0.001,0,1,,
Colq,0.793808027,0.010192886,0.001,0,1,,
Gm49308,0.793808027,0.003641038,0.001,0,1,,
Gm7707,0.793808027,0.004125077,0.001,0,1,,
Chat,0.793808027,0.013128868,0.001,0,1,,
Slc18a3,0.793808027,0.01231123,0.001,0,1,,
Gm15512,0.793808027,0.004752403,0.001,0,1,,
Gdf10,0.793808027,0.005231445,0.001,0,1,,
Antxrl,0.793808027,0.003922736,0.001,0,1,,
Syt15,0.793808027,0.006800623,0.001,0,1,,
Gm3219,0.793808027,0.004986784,0.001,0,1,,
Sncg,0.793808027,0.004709154,0.001,0,1,,
Gm17110,0.793808027,0.005059927,0.001,0,1,,
Opn4,0.793808027,0.005118813,0.001,0,1,,
Gm49012,0.793808027,0.006207926,0.001,0,1,,
2610528A11Rik,0.793808027,0.004900663,0.001,0,1,,
Gm20641,0.793808027,0.006372057,0.001,0,1,,
Dydc2,0.793808027,0.00797331,0.001,0,1,,
Gm47547,0.793808027,0.009933903,0.001,0,1,,
ENSMUSG00000121404,0.793808027,0.006125791,0.001,0,1,,
Ear1,0.793808027,0.007740048,0.001,0,1,,
ENSMUSG00000121411,0.793808027,0.006310349,0.001,0,1,,
Gm17173,0.793808027,0.003603748,0.001,0,1,,
Gm5206,0.793808027,0.006236533,0.001,0,1,,
Bmp4,0.793808027,0.009418087,0.001,0,1,,
Cdkn3,0.793808027,0.004528549,0.001,0,1,,
Gm10101,0.793808027,0.006385934,0.001,0,1,,
Lgals3,0.793808027,0.004629844,0.001,0,1,,
Gm48935,0.793808027,0.003987639,0.001,0,1,,
Gm48948,0.793808027,0.004887051,0.001,0,1,,
Ccnb1ip1,0.793808027,0.00481088,0.001,0,1,,
Pnp2,0.793808027,0.005065755,0.001,0,1,,
Rnase6,0.793808027,0.008022392,0.001,0,1,,
Gm7247,0.793808027,0.00554295,0.001,0,1,,
Gm16617,0.793808027,0.010270236,0.001,0,1,,
Olfr221,0.793808027,0.014273909,0.001,0,1,,
Gm8586,0.793808027,0.004940572,0.001,0,1,,
Gm49258,0.793808027,0.004765274,0.001,0,1,,
Gm43647,0.793808027,0.006567089,0.001,0,1,,
Gm30275,0.793808027,0.003644055,0.001,0,1,,
Gm24424,0.793808027,0.003751276,0.001,0,1,,
Ajuba,0.793808027,0.014130606,0.001,0,1,,
Gm17428,0.793808027,0.003987639,0.001,0,1,,
Gm31251,0.793808027,0.007000873,0.001,0,1,,
Fitm1,0.793808027,0.006480014,0.001,0,1,,
Tgm1,0.793808027,0.003140582,0.001,0,1,,
Adcy4,0.793808027,0.004355888,0.001,0,1,,
Atp12a,0.793808027,0.018775089,0.001,0,1,,
Gm16573,0.793808027,0.004752403,0.001,0,1,,
Gjb2,0.793808027,0.012993126,0.001,0,1,,
Ift88os,0.793808027,0.008275204,0.001,0,1,,
1700039M10Rik,0.793808027,0.005697315,0.001,0,1,,
Gm33321,0.793808027,0.002917672,0.001,0,1,,
Gm9013,0.793808027,0.004457416,0.001,0,1,,
Gm16261,0.793808027,0.008171431,0.001,0,1,,
C1qtnf9,0.793808027,0.006381301,0.001,0,1,,
Sgcg,0.793808027,0.00518825,0.001,0,1,,
4930556J02Rik,0.793808027,0.010306334,0.001,0,1,,
Gm54467,0.793808027,0.007426406,0.001,0,1,,
Gm54469,0.793808027,0.010122512,0.001,0,1,,
Gm35419,0.793808027,0.009741394,0.001,0,1,,
Defb47,0.793808027,0.007364237,0.001,0,1,,
Defb42,0.793808027,0.010503221,0.001,0,1,,
Gm15918,0.793808027,0.007537766,0.001,0,1,,
Prss55,0.793808027,0.004930879,0.001,0,1,,
Prss51,0.793808027,0.005312,0.001,0,1,,
Scara5,0.793808027,0.01135021,0.001,0,1,,
Gm9570,0.793808027,0.00314395,0.001,0,1,,
Gnrh1,0.793808027,0.01231123,0.001,0,1,,
Adam7,0.793808027,0.005248613,0.001,0,1,,
Adamdec1,0.793808027,0.006537805,0.001,0,1,,
Adam28,0.793808027,0.006537805,0.001,0,1,,
Nkx3-1,0.793808027,0.009298624,0.001,0,1,,
Gm33524,0.793808027,0.007843567,0.001,0,1,,
9930012K11Rik,0.793808027,0.003603748,0.001,0,1,,
Piwil2,0.793808027,0.005717682,0.001,0,1,,
Fgf17,0.793808027,0.005549944,0.001,0,1,,
Gm49289,0.793808027,0.006537805,0.001,0,1,,
4933402J15Rik,0.793808027,0.003975924,0.001,0,1,,
Cpb2,0.793808027,0.003292818,0.001,0,1,,
Erich6b,0.793808027,0.011075132,0.001,0,1,,
Tnfsf11,0.793808027,0.004915725,0.001,0,1,,
Gm48998,0.793808027,0.014972374,0.001,0,1,,
ENSMUSG00000120927,0.793808027,0.004528549,0.001,0,1,,
Gm49015,0.793808027,0.008275204,0.001,0,1,,
Gm49159,0.793808027,0.004629844,0.001,0,1,,
Gm49199,0.793808027,0.005025241,0.001,0,1,,
Gm49197,0.793808027,0.006049958,0.001,0,1,,
Gm4355,0.793808027,0.005876183,0.001,0,1,,
Gm49026,0.793808027,0.005003803,0.001,0,1,,
Gm26367,0.793808027,0.011057731,0.001,0,1,,
Gm9922,0.793808027,0.005823667,0.001,0,1,,
Gm49292,0.793808027,0.004457416,0.001,0,1,,
Gm34589,0.793808027,0.009279007,0.001,0,1,,
4933432I03Rik,0.793808027,0.00357156,0.001,0,1,,
Gm49205,0.793808027,0.01044089,0.001,0,1,,
Gm24207,0.793808027,0.007843567,0.001,0,1,,
Gm48993,0.793808027,0.005045417,0.001,0,1,,
Gm18580,0.793808027,0.003032848,0.001,0,1,,
Gm49010,0.793808027,0.004728137,0.001,0,1,,
Dct,0.793808027,0.005532492,0.001,0,1,,
Gm4675,0.793808027,0.004493849,0.001,0,1,,
1700006F04Rik,0.793808027,0.006016854,0.001,0,1,,
Gm48985,0.793808027,0.005810204,0.001,0,1,,
Gm49008,0.793808027,0.004050059,0.001,0,1,,
Gm6254,0.793808027,0.00314395,0.001,0,1,,
2610035F20Rik,0.793808027,0.008062833,0.001,0,1,,
Gm10837,0.793808027,0.009597911,0.001,0,1,,
Gm15422,0.793808027,0.003856527,0.001,0,1,,
Gm49071,0.793808027,0.004201921,0.001,0,1,,
C6,0.793808027,0.004709154,0.001,0,1,,
Gm10250,0.793808027,0.010181089,0.001,0,1,,
Ugt3a1,0.793808027,0.007989604,0.001,0,1,,
Capsl,0.793808027,0.003964278,0.001,0,1,,
Prlr,0.793808027,0.00518825,0.001,0,1,,
4930556M19Rik,0.793808027,0.005812124,0.001,0,1,,
Rxfp3,0.793808027,0.01044089,0.001,0,1,,
ENSMUSG00000120063,0.793808027,0.003756081,0.001,0,1,,
4921515E04Rik,0.793808027,0.012070509,0.001,0,1,,
Gm49166,0.793808027,0.006372057,0.001,0,1,,
Acot10,0.793808027,0.004086749,0.001,0,1,,
Gm19371,0.793808027,0.007531313,0.001,0,1,,
Hnrnpa1l2-ps2,0.793808027,0.00911555,0.001,0,1,,
Gm6330,0.793808027,0.005808286,0.001,0,1,,
Dnah5,0.793808027,0.011736354,0.001,0,1,,
Gm49283,0.793808027,0.008787732,0.001,0,1,,
4930430F21Rik,0.793808027,0.010779946,0.001,0,1,,
Ropn1l,0.793808027,0.006656536,0.001,0,1,,
Gm49208,0.793808027,0.004944738,0.001,0,1,,
4930592A05Rik,0.793808027,0.004332291,0.001,0,1,,
Gm49195,0.793808027,0.003657691,0.001,0,1,,
Gm22208,0.793808027,0.007928397,0.001,0,1,,
Gm48932,0.793808027,0.002533276,0.001,0,1,,
Gm48961,0.793808027,0.004299471,0.001,0,1,,
Gm41293,0.793808027,0.003682958,0.001,0,1,,
Gm34093,0.793808027,0.003324551,0.001,0,1,,
Gm6704,0.793808027,0.005118813,0.001,0,1,,
Gm28221,0.793808027,0.008429837,0.001,0,1,,
Gm8668,0.793808027,0.005105445,0.001,0,1,,
Gm3362,0.793808027,0.009978978,0.001,0,1,,
Gm41307,0.793808027,0.007438966,0.001,0,1,,
2310043O21Rik,0.793808027,0.003517295,0.001,0,1,,
Gm49097,0.793808027,0.004654339,0.001,0,1,,
Gm26704,0.793808027,0.005438433,0.001,0,1,,
Dpys,0.793808027,0.005312,0.001,0,1,,
Gm16291,0.793808027,0.004686574,0.001,0,1,,
Gm33251,0.793808027,0.003810587,0.001,0,1,,
Gm49525,0.793808027,0.004454031,0.001,0,1,,
Gm49526,0.793808027,0.005102483,0.001,0,1,,
Gm2140,0.793808027,0.006376676,0.001,0,1,,
Gm23530,0.793808027,0.003933259,0.001,0,1,,
Gm48913,0.793808027,0.004709154,0.001,0,1,,
Gm34562,0.793808027,0.00707406,0.001,0,1,,
Gm18787,0.793808027,0.004355888,0.001,0,1,,
Gm16006,0.793808027,0.007733244,0.001,0,1,,
Gm22299,0.793808027,0.003476979,0.001,0,1,,
Fer1l6,0.793808027,0.004299471,0.001,0,1,,
Gm2682,0.793808027,0.004566159,0.001,0,1,,
9930014A18Rik,0.793808027,0.004564974,0.001,0,1,,
Myc,0.793808027,0.00641387,0.001,0,1,,
Gm30563,0.793808027,0.011935399,0.001,0,1,,
Hhla1,0.793808027,0.009950758,0.001,0,1,,
Tmem71,0.793808027,0.004947519,0.001,0,1,,
ENSMUSG00000120535,0.793808027,0.003324551,0.001,0,1,,
Gm41341,0.793808027,0.009012818,0.001,0,1,,
1700010B13Rik,0.793808027,0.012363137,0.001,0,1,,
4933427E11Rik,0.793808027,0.007420142,0.001,0,1,,
Gm39556,0.793808027,0.004654339,0.001,0,1,,
Rhpn1,0.793808027,0.005308794,0.001,0,1,,
Mapk15,0.793808027,0.005949708,0.001,0,1,,
Tssk5,0.793808027,0.004579232,0.001,0,1,,
Scx,0.793808027,0.00476915,0.001,0,1,,
Gm49550,0.793808027,0.00803705,0.001,0,1,,
Recql4,0.793808027,0.006218898,0.001,0,1,,
Commd5,0.793808027,0.005256453,0.001,0,1,,
ENSMUSG00000120280,0.793808027,0.005065755,0.001,0,1,,
Gm3787,0.793808027,0.006735535,0.001,0,1,,
Apol10b,0.793808027,0.008515519,0.001,0,1,,
ENSMUSG00000120785,0.793808027,0.005980042,0.001,0,1,,
Il2rb,0.793808027,0.006381301,0.001,0,1,,
C1qtnf6,0.793808027,0.003596382,0.001,0,1,,
Gm6723,0.793808027,0.012450627,0.001,0,1,,
Gm49486,0.793808027,0.003049671,0.001,0,1,,
Gm20420,0.793808027,0.005608325,0.001,0,1,,
Gm16059,0.793808027,0.003657691,0.001,0,1,,
Gm49552,0.793808027,0.007183821,0.001,0,1,,
Gm16575,0.793808027,0.009240021,0.001,0,1,,
Fam83f,0.793808027,0.006223298,0.001,0,1,,
4930483J18Rik,0.793808027,0.006641459,0.001,0,1,,
8430426J06Rik,0.793808027,0.007518439,0.001,0,1,,
ENSMUSG00000120799,0.793808027,0.005773975,0.001,0,1,,
Gm5805,0.793808027,0.011736354,0.001,0,1,,
ENSMUSG00000120783,0.793808027,0.004454031,0.001,0,1,,
Wbp2nl,0.793808027,0.008298623,0.001,0,1,,
Gm20324,0.793808027,0.003198825,0.001,0,1,,
Gm29019,0.793808027,0.008774584,0.001,0,1,,
Nfam1,0.793808027,0.004853348,0.001,0,1,,
A4galt,0.793808027,0.007808754,0.001,0,1,,
ENSMUSG00000121132,0.793808027,0.005231445,0.001,0,1,,
Pnpla5,0.793808027,0.008062833,0.001,0,1,,
Prr5,0.793808027,0.00358101,0.001,0,1,,
ENSMUSG00000120923,0.793808027,0.003311411,0.001,0,1,,
Pkdrej,0.793808027,0.007327432,0.001,0,1,,
Gtse1,0.793808027,0.012530435,0.001,0,1,,
Ttll8,0.793808027,0.005532492,0.001,0,1,,
Tymp,0.793808027,0.006385934,0.001,0,1,,
ENSMUSG00000121083,0.793808027,0.004009449,0.001,0,1,,
ENSMUSG00000121113,0.793808027,0.009091996,0.001,0,1,,
Gm36480,0.793808027,0.006774437,0.001,0,1,,
Tcea1-ps1,0.793808027,0.008421767,0.001,0,1,,
Muc19,0.793808027,0.007467382,0.001,0,1,,
Gm49418,0.793808027,0.006041648,0.001,0,1,,
9430014N10Rik,0.793808027,0.010140014,0.001,0,1,,
Gm30564,0.793808027,0.010163445,0.001,0,1,,
Gm6961,0.793808027,0.004717993,0.001,0,1,,
D030018L15Rik,0.793808027,0.006480014,0.001,0,1,,
ENSMUSG00000121185,0.793808027,0.005723262,0.001,0,1,,
Slc38a4,0.793808027,0.005240795,0.001,0,1,,
Wnt1,0.793808027,0.003384671,0.001,0,1,,
Prph,0.793808027,0.006093964,0.001,0,1,,
Troap,0.793808027,0.005395074,0.001,0,1,,
Gm17349,0.793808027,0.011943501,0.001,0,1,,
Gm18095,0.793808027,0.007699402,0.001,0,1,,
Gm49474,0.793808027,0.004887051,0.001,0,1,,
Gm5475,0.793808027,0.006872346,0.001,0,1,,
1110013H19Rik,0.793808027,0.013247495,0.001,0,1,,
Cela1,0.793808027,0.00714589,0.001,0,1,,
Acvrl1,0.793808027,0.009736004,0.001,0,1,,
Smim41,0.793808027,0.010394626,0.001,0,1,,
Gm35853,0.793808027,0.005537716,0.001,0,1,,
Krt80,0.793808027,0.002626693,0.001,0,1,,
Krt86,0.793808027,0.00914873,0.001,0,1,,
Soat2,0.793808027,0.004900663,0.001,0,1,,
ENSMUSG00000120561,0.793808027,0.008405672,0.001,0,1,,
ENSMUSG00000121046,0.793808027,0.010779946,0.001,0,1,,
Npff,0.793808027,0.010954457,0.001,0,1,,
Rpl39-ps,0.793808027,0.002285183,0.001,0,1,,
D930007P13Rik,0.793808027,0.010988666,0.001,0,1,,
Gm49272,0.793808027,0.004566752,0.001,0,1,,
Gm49273,0.793808027,0.002486377,0.001,0,1,,
Mucl2,0.793808027,0.003292818,0.001,0,1,,
Gm35974,0.793808027,0.00518978,0.001,0,1,,
Gm15538,0.793808027,0.008389639,0.001,0,1,,
Gm49547,0.793808027,0.005886013,0.001,0,1,,
Gm15885,0.793808027,0.00764919,0.001,0,1,,
Smim22,0.793808027,0.006102419,0.001,0,1,,
AU021092,0.793808027,0.004457416,0.001,0,1,,
Gm10343,0.793808027,0.004986784,0.001,0,1,,
Gm24145,0.793808027,0.012082944,0.001,0,1,,
Gm6305,0.793808027,0.015721611,0.001,0,1,,
1700003L19Rik,0.793808027,0.009249737,0.001,0,1,,
2310015D24Rik,0.793808027,0.010410002,0.001,0,1,,
Pla2g10,0.793808027,0.005631663,0.001,0,1,,
Gm15950,0.793808027,0.005773975,0.001,0,1,,
Gm15806,0.793808027,0.009905937,0.001,0,1,,
Gm15868,0.793808027,0.004167089,0.001,0,1,,
Snai2,0.793808027,0.002626693,0.001,0,1,,
Gm21897,0.793808027,0.007794915,0.001,0,1,,
Rpl31-ps12,0.793808027,0.006223298,0.001,0,1,,
Gm9974,0.793808027,0.004129918,0.001,0,1,,
Lrrc74b,0.793808027,0.004629844,0.001,0,1,,
Gm18335,0.793808027,0.00441602,0.001,0,1,,
Car15,0.793808027,0.003032848,0.001,0,1,,
Gm49588,0.793808027,0.005302394,0.001,0,1,,
Rtl10,0.793808027,0.008171431,0.001,0,1,,
Gm15798,0.793808027,0.003184927,0.001,0,1,,
A930003A15Rik,0.793808027,0.008405672,0.001,0,1,,
Klhl6,0.793808027,0.003292818,0.001,0,1,,
Gm49745,0.793808027,0.009535488,0.001,0,1,,
Gm4462,0.793808027,0.005482496,0.001,0,1,,
Rps10-ps2,0.793808027,0.006463351,0.001,0,1,,
Gm16863,0.793808027,0.008581979,0.001,0,1,,
9230117E06Rik,0.793808027,0.007989604,0.001,0,1,,
Gm49565,0.793808027,0.004130888,0.001,0,1,,
Gm30505,0.793808027,0.005949708,0.001,0,1,,
Rtp4,0.793808027,0.006850937,0.001,0,1,,
Uts2b,0.793808027,0.005549944,0.001,0,1,,
Gp5,0.793808027,0.009945134,0.001,0,1,,
Meltf,0.793808027,0.006205737,0.001,0,1,,
Gm49733,0.793808027,0.009201362,0.001,0,1,,
Hmgb1-ps6,0.793808027,0.003384671,0.001,0,1,,
Slc51a,0.793808027,0.004189913,0.001,0,1,,
Gm6611,0.793808027,0.008179029,0.001,0,1,,
Gm15829,0.793808027,0.005065755,0.001,0,1,,
E130310I04Rik,0.793808027,0.005302394,0.001,0,1,,
Gm26838,0.793808027,0.012354455,0.001,0,1,,
2600002D14Rik,0.793808027,0.006385934,0.001,0,1,,
Gm49600,0.793808027,0.004292129,0.001,0,1,,
Gm17103,0.793808027,0.004496146,0.001,0,1,,
Gm15530,0.793808027,0.010122512,0.001,0,1,,
Gm15802,0.793808027,0.005042524,0.001,0,1,,
Gm15712,0.793808027,0.007921258,0.001,0,1,,
Gm49735,0.793808027,0.00946368,0.001,0,1,,
Cd200r1,0.793808027,0.004765274,0.001,0,1,,
Cd200r2,0.793808027,0.003682958,0.001,0,1,,
Gm8670,0.793808027,0.006381301,0.001,0,1,,
Myh15,0.793808027,0.003219311,0.001,0,1,,
ENSMUSG00000119969,0.793808027,0.003434892,0.001,0,1,,
Gm9575,0.793808027,0.003219311,0.001,0,1,,
4930405D01Rik,0.793808027,0.011878989,0.001,0,1,,
Gm17809,0.793808027,0.00418493,0.001,0,1,,
4921517D16Rik,0.793808027,0.007000873,0.001,0,1,,
Gm49579,0.793808027,0.004129918,0.001,0,1,,
Gm49575,0.793808027,0.004762694,0.001,0,1,,
Gm49615,0.793808027,0.011357537,0.001,0,1,,
Csnka2ip,0.793808027,0.011057731,0.001,0,1,,
1700010K23Rik,0.793808027,0.003476979,0.001,0,1,,
Gm49640,0.793808027,0.004695329,0.001,0,1,,
D16Ertd519e,0.793808027,0.009091996,0.001,0,1,,
Gm19291,0.793808027,0.004853348,0.001,0,1,,
Gm26937,0.793808027,0.004189913,0.001,0,1,,
Gm49676,0.793808027,0.004189913,0.001,0,1,,
Gm49677,0.793808027,0.007128518,0.001,0,1,,
Gm45029,0.793808027,0.003140582,0.001,0,1,,
9530003O04Rik,0.793808027,0.014268121,0.001,0,1,,
Gm21833,0.793808027,0.01100241,0.001,0,1,,
Gm32624,0.793808027,0.004825394,0.001,0,1,,
Gm38477,0.793808027,0.004019525,0.001,0,1,,
Gm46546,0.793808027,0.003975924,0.001,0,1,,
Gm49704,0.793808027,0.004189913,0.001,0,1,,
Gm36363,0.793808027,0.010416165,0.001,0,1,,
Gm49614,0.793808027,0.010947641,0.001,0,1,,
Gm49625,0.793808027,0.003992163,0.001,0,1,,
Gm49626,0.793808027,0.00582174,0.001,0,1,,
1700048M11Rik,0.793808027,0.003987639,0.001,0,1,,
Gm26626,0.793808027,0.004207951,0.001,0,1,,
2310043M15Rik,0.793808027,0.005118813,0.001,0,1,,
Cldn14,0.793808027,0.018518186,0.001,0,1,,
ENSMUSG00000121038,0.793808027,0.004752403,0.001,0,1,,
ENSMUSG00000120726,0.793808027,0.00926923,0.001,0,1,,
1600002D24Rik,0.793808027,0.002285183,0.001,0,1,,
Bace2,0.793808027,0.005864431,0.001,0,1,,
Ripk4,0.793808027,0.00946368,0.001,0,1,,
Pisd-ps2,0.793808027,0.006774437,0.001,0,1,,
ENSMUSG00000120854,0.793808027,0.003657691,0.001,0,1,,
Gm49798,0.793808027,0.006238745,0.001,0,1,,
Nox3,0.793808027,0.015192161,0.001,0,1,,
4930470H14Rik,0.793808027,0.005057018,0.001,0,1,,
Gm23186,0.793808027,0.007376587,0.001,0,1,,
Gm41517,0.793808027,0.00603543,0.001,0,1,,
Fbl-ps2,0.793808027,0.009220651,0.001,0,1,,
Gm2792,0.793808027,0.004528549,0.001,0,1,,
Gm49721,0.793808027,0.003682958,0.001,0,1,,
T,0.793808027,0.005102483,0.001,0,1,,
Gm15426,0.793808027,0.004528549,0.001,0,1,,
C87487,0.793808027,0.004410485,0.001,0,1,,
Gm34684,0.793808027,0.006012741,0.001,0,1,,
Gm3145,0.793808027,0.004937799,0.001,0,1,,
Gm37402,0.793808027,0.002386545,0.001,0,1,,
C030013G03Rik,0.793808027,0.004414912,0.001,0,1,,
Tcp10b,0.793808027,0.004050059,0.001,0,1,,
Gm16046,0.793808027,0.00700366,0.001,0,1,,
4930474M22Rik,0.793808027,0.003987639,0.001,0,1,,
Gm3435,0.793808027,0.007094026,0.001,0,1,,
Gm7177,0.793808027,0.007726452,0.001,0,1,,
Fpr1,0.793808027,0.00911555,0.001,0,1,,
Vmn1r227,0.793808027,0.011744188,0.001,0,1,,
Gm10509,0.793808027,0.005010929,0.001,0,1,,
Vmn2r112,0.793808027,0.004420458,0.001,0,1,,
Gm5224,0.793808027,0.009201362,0.001,0,1,,
Bicdl2,0.793808027,0.016274228,0.001,0,1,,
1520401A03Rik,0.793808027,0.007699402,0.001,0,1,,
Gm41545,0.793808027,0.009418087,0.001,0,1,,
Prss22,0.793808027,0.018576845,0.001,0,1,,
Gm50070,0.793808027,0.004526219,0.001,0,1,,
Meiob,0.793808027,0.004853348,0.001,0,1,,
Chtf18,0.793808027,0.00914873,0.001,0,1,,
Wfikkn1,0.793808027,0.00476915,0.001,0,1,,
A930017K11Rik,0.793808027,0.008446024,0.001,0,1,,
Gm20026,0.793808027,0.006579368,0.001,0,1,,
Gm10505,0.793808027,0.003219311,0.001,0,1,,
Gm49794,0.793808027,0.005697315,0.001,0,1,,
Gm55779,0.793808027,0.009784736,0.001,0,1,,
Gm35883,0.793808027,0.009773864,0.001,0,1,,
Pnpla1,0.793808027,0.004521566,0.001,0,1,,
Gm16195,0.793808027,0.007438966,0.001,0,1,,
Trp53cor1,0.793808027,0.004457416,0.001,0,1,,
Gm46603,0.793808027,0.009418087,0.001,0,1,,
Gm26885,0.793808027,0.006372057,0.001,0,1,,
Gm28043,0.793808027,0.00418493,0.001,0,1,,
Gm9874,0.793808027,0.010192886,0.001,0,1,,
Dnah8,0.793808027,0.003756081,0.001,0,1,,
Gm41562,0.793808027,0.003128854,0.001,0,1,,
Gm50105,0.793808027,0.005462071,0.001,0,1,,
Pdxk-ps,0.793808027,0.008774584,0.001,0,1,,
Rasal3,0.793808027,0.003221669,0.001,0,1,,
Cyp4f40,0.793808027,0.009872586,0.001,0,1,,
Cyp4f14,0.793808027,0.006058291,0.001,0,1,,
Psmb9,0.793808027,0.008581979,0.001,0,1,,
H2-Ob,0.793808027,0.004277519,0.001,0,1,,
H2-Ab1,0.793808027,0.021585355,0.001,0,1,,
C4a,0.793808027,0.007321334,0.001,0,1,,
Vwa7,0.793808027,0.003219311,0.001,0,1,,
Ncr3-ps,0.793808027,0.016691091,0.001,0,1,,
H2-Q4,0.793808027,0.008429837,0.001,0,1,,
Cdsn,0.793808027,0.005631663,0.001,0,1,,
Sfta2,0.793808027,0.004646964,0.001,0,1,,
Muc21,0.793808027,0.004493849,0.001,0,1,,
Mucl3,0.793808027,0.009905937,0.001,0,1,,
Gm20483,0.793808027,0.006049958,0.001,0,1,,
ENSMUSG00000120061,0.793808027,0.009655854,0.001,0,1,,
ENSMUSG00000121151,0.793808027,0.005086257,0.001,0,1,,
H2-Bl,0.793808027,0.005265893,0.001,0,1,,
Gm20546,0.793808027,0.00358101,0.001,0,1,,
Trim15,0.793808027,0.005567507,0.001,0,1,,
Runx2os3,0.793808027,0.00481088,0.001,0,1,,
Nfkbie,0.793808027,0.00518825,0.001,0,1,,
ENSMUSG00000120274,0.793808027,0.012530435,0.001,0,1,,
F630040K05Rik,0.793808027,0.006805884,0.001,0,1,,
ENSMUSG00000120998,0.793808027,0.004129918,0.001,0,1,,
Gm5093,0.793808027,0.004748555,0.001,0,1,,
Prph2,0.793808027,0.004654339,0.001,0,1,,
Guca1b,0.793808027,0.007843567,0.001,0,1,,
1700001C19Rik,0.793808027,0.006921007,0.001,0,1,,
Mdfi,0.793808027,0.006845606,0.001,0,1,,
1700067P10Rik,0.793808027,0.004818786,0.001,0,1,,
Unc5cl,0.793808027,0.007361156,0.001,0,1,,
Gm17830,0.793808027,0.005003803,0.001,0,1,,
Gm20540,0.793808027,0.00481088,0.001,0,1,,
E430014B02Rik,0.793808027,0.005579867,0.001,0,1,,
Gm20098,0.793808027,0.011681805,0.001,0,1,,
Gm27217,0.793808027,0.006102419,0.001,0,1,,
Gm6919,0.793808027,0.011943501,0.001,0,1,,
Stap2,0.793808027,0.00582174,0.001,0,1,,
Plin4,0.793808027,0.004129918,0.001,0,1,,
Crb3,0.793808027,0.006537805,0.001,0,1,,
Dennd1c,0.793808027,0.003292818,0.001,0,1,,
ENSMUSG00000119983,0.793808027,0.006395219,0.001,0,1,,
Tnfsf9,0.793808027,0.003659213,0.001,0,1,,
Cd70,0.793808027,0.003198825,0.001,0,1,,
Nudt12os,0.793808027,0.004201921,0.001,0,1,,
ENSMUSG00000120541,0.793808027,0.006064556,0.001,0,1,,
Gm49870,0.793808027,0.003559276,0.001,0,1,,
Gm35550,0.793808027,0.00515028,0.001,0,1,,
ENSMUSG00000121208,0.793808027,0.007180889,0.001,0,1,,
Gm36201,0.793808027,0.007679238,0.001,0,1,,
Gm49944,0.793808027,0.004887051,0.001,0,1,,
Gm38593,0.793808027,0.008907863,0.001,0,1,,
Gm36487,0.793808027,0.005949708,0.001,0,1,,
Gm49894,0.793808027,0.012611271,0.001,0,1,,
A730049N16Rik,0.793808027,0.007094026,0.001,0,1,,
Gm49895,0.793808027,0.005065755,0.001,0,1,,
Gm20703,0.793808027,0.012766844,0.001,0,1,,
Gm9320,0.793808027,0.004765274,0.001,0,1,,
Gm41611,0.793808027,0.006381301,0.001,0,1,,
Gm49909,0.793808027,0.01044089,0.001,0,1,,
Gm4566,0.793808027,0.004050059,0.001,0,1,,
Gm18738,0.793808027,0.005438433,0.001,0,1,,
Gm9316,0.793808027,0.005259596,0.001,0,1,,
Gm32282,0.793808027,0.00518978,0.001,0,1,,
Vit,0.793808027,0.006518428,0.001,0,1,,
Gm55655,0.793808027,0.006599111,0.001,0,1,,
C230072F16Rik,0.793808027,0.009008203,0.001,0,1,,
Gm46597,0.793808027,0.00476915,0.001,0,1,,
Gm24722,0.793808027,0.005065755,0.001,0,1,,
Abcg5,0.793808027,0.014672696,0.001,0,1,,
2010106C02Rik,0.793808027,0.005590505,0.001,0,1,,
ENSMUSG00000121124,0.793808027,0.005243919,0.001,0,1,,
ENSMUSG00000120531,0.793808027,0.005773975,0.001,0,1,,
Epcam,0.793808027,0.005231445,0.001,0,1,,
Gtf2a1l,0.793808027,0.009177364,0.001,0,1,,
Lhcgr,0.793808027,0.012259757,0.001,0,1,,
Gm49991,0.793808027,0.011752033,0.001,0,1,,
Gm9416,0.793808027,0.006934647,0.001,0,1,,
