"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cpne51",5.22141822652952e-38,0.685186622883092,0.434,0.18,1.82055189304405e-33,"3","Cpne5"
"Ptprm",6.76670925817186e-38,0.576294470677005,0.966,0.929,2.35934851704678e-33,"3","Ptprm"
"Rtn1",1.88513391552431e-37,0.579720707312166,0.969,0.926,6.5728964232586e-33,"3","Rtn1"
"Runx1t11",3.15291291889398e-37,0.736366084838824,0.834,0.658,1.09932614743077e-32,"3","Runx1t1"
"Oprm1",7.95439223563896e-37,0.653440070757373,0.405,0.16,2.77345794080024e-32,"3","Oprm1"
"Dapk11",8.13338911090934e-37,0.727587366929839,0.67,0.416,2.83586878130076e-32,"3","Dapk1"
"Gm325091",8.79253340436683e-37,0.708115683094395,0.533,0.255,3.06569262210058e-32,"3","Gm32509"
"Calb11",1.13702771334779e-36,0.653005922617507,0.648,0.339,3.96447452812974e-32,"3","Calb1"
"Tln2",1.28487765189534e-36,0.730430557992863,0.66,0.437,4.47998290886348e-32,"3","Tln2"
"ENSMUSG00000120670",2.45221190300806e-36,0.710529569508981,0.655,0.418,8.55012724221819e-32,"3","ENSMUSG00000120670"
"Plppr11",3.21995805934632e-36,0.830737343062302,0.624,0.375,1.12270277655228e-31,"3","Plppr1"
"Gprin3",5.01292429417056e-36,0.566105386115803,0.265,0.08,1.74785631364845e-31,"3","Gprin3"
"9130015G15Rik",6.02169045661793e-35,0.569472744350338,0.267,0.082,2.09958281150897e-30,"3","9130015G15Rik"
"Socs2",1.71312723975517e-34,0.56917856626997,0.282,0.093,5.97316074685434e-30,"3","Socs2"
"Car101",4.44400601262163e-34,0.741790160677377,0.735,0.499,1.54949157642078e-29,"3","Car10"
"Gm160831",2.00386244269769e-33,0.678737421392854,0.547,0.282,6.98686717895403e-29,"3","Gm16083"
"Cers6",4.55580366727105e-33,0.622391116935512,0.858,0.764,1.5884720646674e-28,"3","Cers6"
"Fxyd6",1.46677252891818e-32,0.597380515398006,0.33,0.124,5.11419577657903e-28,"3","Fxyd6"
