,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hit in database
73,B3galt2,1.52E-14,0.187312778,0.337,0.285,5.30E-10,3.19E-11,0.156281202,0.342,0.285,1.11E-06,0
74,Bace2,4.66E-17,-0.048006307,0.009,0.029,1.62E-12,8.93E-07,-0.035997583,0.015,0.029,0.031146056,1
75,BC051142,8.18E-18,-0.064055451,0.029,0.061,2.85E-13,8.32E-07,-0.049941856,0.041,0.061,0.029000957,0
76,Bc1,1.91E-67,0.368421066,0.576,0.449,6.65E-63,1.77E-22,-0.18827851,0.374,0.449,6.18E-18,0
77,Bex2,1.28E-162,0.634279641,0.682,0.495,4.47E-158,6.31E-12,0.242850533,0.55,0.495,2.20E-07,0
78,Bhlhe40,6.17E-08,0.12406582,0.212,0.177,0.002150608,1.62E-09,-0.073488265,0.138,0.177,5.63E-05,0
79,Bicdl1,7.49E-28,-0.170969881,0.412,0.507,2.61E-23,3.64E-17,-0.139103627,0.443,0.507,1.27E-12,0
80,Bicral,1.69E-18,-0.12365427,0.433,0.516,5.90E-14,1.16E-08,-0.093072012,0.474,0.516,0.00040496,0
81,Birc6,4.80E-15,-0.107515345,0.658,0.725,1.67E-10,1.12E-07,-0.04102343,0.682,0.725,0.003917104,0
82,Bmpr1b,6.00E-07,-0.106812635,0.133,0.165,0.020910242,9.97E-10,-0.127807231,0.124,0.165,3.48E-05,0
83,Brinp1,5.16E-20,-0.170391371,0.842,0.878,1.80E-15,2.18E-18,-0.156975351,0.833,0.878,7.61E-14,1
84,Brwd1,5.65E-10,-0.085934055,0.493,0.554,1.97E-05,8.25E-08,-0.097705176,0.512,0.554,0.002877149,0
85,C030004G16Rik,1.51E-19,-0.061421847,0.013,0.038,5.26E-15,1.17E-09,-0.04972937,0.019,0.038,4.09E-05,0
86,Cacna1a,1.01E-41,-0.181665089,0.906,0.95,3.52E-37,3.90E-58,-0.212049428,0.907,0.95,1.36E-53,0
87,Cacnb2,6.69E-13,0.305748269,0.704,0.701,2.33E-08,9.87E-13,0.255379642,0.727,0.701,3.44E-08,0
88,Cadm2,1.09E-08,-0.065697119,0.97,0.989,0.000380732,2.58E-12,0.12574619,0.962,0.989,9.01E-08,0
89,Cadps2,2.66E-57,-0.364578519,0.431,0.57,9.28E-53,6.12E-48,-0.360245729,0.443,0.57,2.13E-43,0
90,Calm1,0,0.863669828,0.984,0.957,0,1.53E-35,0.292168315,0.959,0.957,5.34E-31,0
91,Calm2,0,0.743553459,0.968,0.916,0,1.61E-11,0.222835279,0.924,0.916,5.62E-07,0
92,Caly,4.10E-39,0.322710612,0.43,0.334,1.43E-34,3.06E-09,0.179111102,0.388,0.334,0.000106773,0
93,Camk1,5.85E-09,-0.063946028,0.298,0.35,0.000203799,3.78E-12,-0.106307496,0.296,0.35,1.32E-07,0
94,Camk2a,1.64E-12,-0.111796594,0.881,0.914,5.73E-08,4.36E-21,-0.14173982,0.88,0.914,1.52E-16,0
95,Camk2g,2.83E-18,-0.121286333,0.42,0.505,9.86E-14,1.47E-10,-0.102161135,0.456,0.505,5.14E-06,0
96,Camk2n1,1.64E-129,0.57939216,0.754,0.655,5.72E-125,1.13E-12,0.23635592,0.692,0.655,3.95E-08,0
97,Camk4,4.01E-23,-0.180672265,0.691,0.765,1.40E-18,2.15E-14,-0.137059124,0.707,0.765,7.50E-10,0
98,Camkk2,3.23E-09,-0.083925014,0.517,0.572,0.000112748,6.01E-25,-0.195630288,0.504,0.572,2.10E-20,0
99,Camta1,2.52E-51,-0.257184419,0.724,0.803,8.77E-47,2.49E-32,-0.200926539,0.745,0.803,8.69E-28,0
100,Cask,8.87E-22,-0.137756141,0.651,0.725,3.09E-17,4.42E-08,-0.054521797,0.675,0.725,0.001542751,1
