"","Package","Version"
"reshape2","reshape2","1.4.4"
"restfulr","restfulr","0.0.15"
"reticulate","reticulate","1.32.0"
"Rgraphviz","Rgraphviz","2.42.0"
"rhdf5","rhdf5","2.42.1"
"rhdf5filters","rhdf5filters","1.10.1"
"Rhdf5lib","Rhdf5lib","1.20.0"
"rJava","rJava","1.0-6"
"rjson","rjson","0.2.21"
"rlang","rlang","1.1.4"
"rlist","rlist","0.4.6.2"
"rmarkdown","rmarkdown","2.25"
"rmutil","rmutil","1.1.10"
"rngtools","rngtools","1.5.2"
"ROCR","ROCR","1.0-11"
"rootSolve","rootSolve","1.8.2.4"
"roxygen2","roxygen2","7.2.3"
"rprojroot","rprojroot","2.0.3"
"RProtoBufLib","RProtoBufLib","2.10.0"
"Rsamtools","Rsamtools","2.14.0"
"RSpectra","RSpectra","0.16-1"
"RSQLite","RSQLite","2.3.1"
"rstan","rstan","2.32.5"
"rstantools","rstantools","2.4.0"
"rstatix","rstatix","0.7.2"
"rstudioapi","rstudioapi","0.15.0"
"rsvd","rsvd","1.0.5"
"rtracklayer","rtracklayer","1.58.0"
"Rtsne","Rtsne","0.16"
"RUnit","RUnit","0.4.32"
"ruv","ruv","0.9.7.1"
"rversions","rversions","2.1.2"
"rvest","rvest","1.0.3"
"S4Vectors","S4Vectors","0.36.2"
"sandwich","sandwich","3.0-2"
"sass","sass","0.4.8"
"ScaledMatrix","ScaledMatrix","1.6.0"
"scales","scales","1.3.0"
"scater","scater","1.26.1"
"scattermore","scattermore","1.2"
"scatterpie","scatterpie","0.2.1"
"scatterplot3d","scatterplot3d","0.3-44"
"scClassify","scClassify","1.10.0"
"scClust","scClust","0.3.0"
"scCustomize","scCustomize","2.1.2"
"scDC","scDC","0.1.0"
"scds","scds","1.14.0"
"sceasy","sceasy","0.0.7"
"SCENIC","SCENIC","1.3.1"
"scHOT","scHOT","1.10.0"
"scMerge","scMerge","1.14.0"
"SCopeLoomR","SCopeLoomR","0.13.0"
"scran","scran","1.26.2"
"sctransform","sctransform","0.4.0"
"scuttle","scuttle","1.8.4"
"segmented","segmented","1.6-4"
"selectr","selectr","0.4-2"
"seriation","seriation","1.5.1"
"sessioninfo","sessioninfo","1.2.2"
"Seurat","Seurat","4.3.0.1"
"SeuratDisk","SeuratDisk","0.0.0.9020"
"SeuratObject","SeuratObject","4.1.4"
"sfsmisc","sfsmisc","1.1-16"
"shadowtext","shadowtext","0.1.2"
"shape","shape","1.4.6"
"shiny","shiny","1.8.0"
"shinyAce","shinyAce","0.4.2"
"shinyBS","shinyBS","0.61.1"
"shinycssloaders","shinycssloaders","1.0.0"
"shinydashboard","shinydashboard","0.7.2"
"shinyjs","shinyjs","2.1.0"
"shinyWidgets","shinyWidgets","0.8.6"
"Signac","Signac","1.10.0"
"simplifyEnrichment","simplifyEnrichment","1.8.0"
"SingleCellExperiment","SingleCellExperiment","1.20.1"
"sitmo","sitmo","2.0.2"
"slam","slam","0.1-50"
"slingshot","slingshot","2.6.0"
"snakecase","snakecase","0.11.1"
"snow","snow","0.4-4"
"sourcetools","sourcetools","0.1.7-1"
"sp","sp","2.0-0"
"spam","spam","2.10-0"
"SparseM","SparseM","1.81"
"sparseMatrixStats","sparseMatrixStats","1.10.0"
"sparsesvd","sparsesvd","0.2-2"
"spatstat.data","spatstat.data","3.0-1"
"spatstat.explore","spatstat.explore","3.2-3"
"spatstat.geom","spatstat.geom","3.2-5"
"spatstat.random","spatstat.random","3.1-6"
"spatstat.sparse","spatstat.sparse","3.0-2"
"spatstat.utils","spatstat.utils","3.0-3"
"SQUAREM","SQUAREM","2021.1"
"stable","stable","1.1.6"
"stabledist","stabledist","0.7-1"
"StanHeaders","StanHeaders","2.32.5"
"startupmsg","startupmsg","0.9.6"
"statip","statip","0.2.3"
"statmod","statmod","1.5.0"
"statnet.common","statnet.common","4.9.0"
"stringi","stringi","1.7.12"
"stringr","stringr","1.5.1"
"subplex","subplex","1.8"
"SummarizedExperiment","SummarizedExperiment","1.28.0"
"sva","sva","3.46.0"
"svglite","svglite","2.1.1"
"sys","sys","3.4.2"
"systemfonts","systemfonts","1.0.4"
"TailRank","TailRank","3.2.2"
"tensor","tensor","1.5"
"testthat","testthat","3.1.10"
"textshaping","textshaping","0.3.6"
"TH.data","TH.data","1.1-2"
"threejs","threejs","0.3.3"
"tibble","tibble","3.2.1"
"tidygraph","tidygraph","1.2.3"
"tidyjson","tidyjson","0.3.2"
"tidyr","tidyr","1.3.0"
"tidyselect","tidyselect","1.2.0"
"tidytree","tidytree","0.4.5"
"tidyverse","tidyverse","2.0.0"
"timechange","timechange","0.2.0"
"timeDate","timeDate","4022.108"
"timeSeries","timeSeries","4031.107"
"tinytex","tinytex","0.49"
"tm","tm","0.7-11"
"topGO","topGO","2.50.0"
"TrajectoryUtils","TrajectoryUtils","1.6.0"
"translations","translations","4.2.2"
"treeio","treeio","1.22.0"
"tsne","tsne","0.1-3.1"
"TSP","TSP","1.2-4"
"tweenr","tweenr","2.0.2"
"tzdb","tzdb","0.4.0"
"ucminf","ucminf","1.2.0"
"umap","umap","0.2.10.0"
"unikn","unikn","0.9.0"
"UpSetR","UpSetR","1.4.0"
"urlchecker","urlchecker","1.0.1"
"usethis","usethis","2.2.2"
"utf8","utf8","1.2.4"
"uuid","uuid","1.1-1"
"uwot","uwot","0.1.16"
"varhandle","varhandle","2.0.5"
"vctrs","vctrs","0.6.5"
"vegan","vegan","2.6-4"
"VennDiagram","VennDiagram","1.7.3"
"venneuler","venneuler","1.1-3"
"VGAM","VGAM","1.1-10"
"vipor","vipor","0.4.5"
"viridis","viridis","0.6.4"
"viridisLite","viridisLite","0.4.2"
"vroom","vroom","1.6.3"
"waldo","waldo","0.5.1"
"webchem","webchem","1.3.0"
"webshot","webshot","0.5.5"
"whisker","whisker","0.4.1"
"withr","withr","3.0.0"
"xfun","xfun","0.41"
"xgboost","xgboost","1.7.5.1"
"XML","XML","3.99-0.14"
"xml2","xml2","1.3.5"
"xopen","xopen","1.0.0"
"xtable","xtable","1.8-4"
"XVector","XVector","0.38.0"
"yaml","yaml","2.3.8"
"yulab.utils","yulab.utils","0.1.0"
"zip","zip","2.3.0"
"zlibbioc","zlibbioc","1.44.0"
"zoo","zoo","1.8-12"
