"","SYMBOL","ENSEMBL","ENTREZID"
"498","Syn3","ENSMUSG00000059602","27204"
"499","Cpe","ENSMUSG00000037852","12876"
"500","Nedd8","ENSMUSG00000010376","18002"
"501","Mkx","ENSMUSG00000061013","210719"
"502","Alcam","ENSMUSG00000022636","11658"
"503","Ndufv1","ENSMUSG00000037916","17995"
"504","Ckmt1","ENSMUSG00000000308","12716"
"505","Cct7","ENSMUSG00000030007","12468"
"506","Myl12b","ENSMUSG00000034868","67938"
"507","Sugt1","ENSMUSG00000022024","67955"
"508","Cyc1","ENSMUSG00000022551","66445"
"509","Ldlrad4","ENSMUSG00000024544","52662"
"511","Rpl12","ENSMUSG00000038900","269261"
"512","Dad1","ENSMUSG00000022174","13135"
"513","A930017M01Rik","ENSMUSG00000060530","239410"
"514","Snca","ENSMUSG00000025889","20617"
"515","Pgk1","ENSMUSG00000062070","18655"
"516","Snw1","ENSMUSG00000021039","66354"
"517","Mphosph8","ENSMUSG00000079184","75339"
"518","Syt11","ENSMUSG00000068923","229521"
"519","Zc3h15","ENSMUSG00000027091","69082"
"520","Zfp697","ENSMUSG00000050064","242109"
"521","Ubqln2","ENSMUSG00000050148","54609"
"522","Vdac3","ENSMUSG00000008892","22335"
"523","D130043K22Rik","ENSMUSG00000006711","210108"
"524","Cox6a1","ENSMUSG00000041697","12861"
"526","Ghitm","ENSMUSG00000041028","66092"
"527","Hnrnph1","ENSMUSG00000007850","59013"
"528","Rims2","ENSMUSG00000037386","116838"
"529","Sipa1l1","ENSMUSG00000042700","217692"
"530","Myrip","ENSMUSG00000041794","245049"
"531","Csnk2b","ENSMUSG00000024387","13001"
"532","Ndufa6","ENSMUSG00000022450","67130"
"533","Csnk1a1","ENSMUSG00000024576","93687"
"534","Ptk2","ENSMUSG00000022607","14083"
"535","Glp2r","ENSMUSG00000049928","93896"
"536","Dclk1","ENSMUSG00000027797","13175"
"537","Nipal2","ENSMUSG00000038879","223473"
"538","Rpl36a","ENSMUSG00000079435","19982"
"539","Rps21","ENSMUSG00000039001","66481"
"541","Cd81","ENSMUSG00000037706","12520"
"542","Fhit","ENSMUSG00000060579","14198"
"543","Ano3","ENSMUSG00000074968","228432"
"544","Plekha6","ENSMUSG00000041757","240753"
"545","Unc13b","ENSMUSG00000028456","22249"
"546","Rps17","ENSMUSG00000061787","20068"
"547","Ndfip1","ENSMUSG00000024425","65113"
"548","Cnot3","ENSMUSG00000035632","232791"
"549","Cacna1b","ENSMUSG00000004113","12287"
"550","Ssb","ENSMUSG00000068882","20823"
"551","Uggt2","ENSMUSG00000042104","66435"
"552","Arpc3","ENSMUSG00000029465","56378"
"553","Cisd1","ENSMUSG00000037710","52637"
"554","Scaper","ENSMUSG00000034007","244891"
"555","Pcbp1","ENSMUSG00000051695","23983"
"556","Vps37d","ENSMUSG00000043614","194309"
"558","Cdk5r2","ENSMUSG00000090071","12570"
"559","Mctp1","ENSMUSG00000021596","78771"
"560","Dstn","ENSMUSG00000015932","56431"
"561","Cplx2","ENSMUSG00000025867","12890"
"562","Cplx2","ENSMUSG00000112941","12890"
"563","Vps28","ENSMUSG00000115987","66914"
"564","Rps26","ENSMUSG00000025362","27370"
"565","Prkcg","ENSMUSG00000078816","18752"
"566","Marcks","ENSMUSG00000069662","17118"
"567","Rbm5","ENSMUSG00000032580","83486"
"568","Ccnd2","ENSMUSG00000000184","12444"
"569","Ablim3","ENSMUSG00000032735","319713"
"570","Zkscan2","ENSMUSG00000030757","210162"
"571","Cacybp","ENSMUSG00000014226","12301"
"573","Ralgps1","ENSMUSG00000038831","241308"
"575","Tma7","ENSMUSG00000091537","66167"
"576","Rpl34","ENSMUSG00000062006","68436"
"577","Abcc8","ENSMUSG00000040136","20927"
"578","Trpm4","ENSMUSG00000038260","68667"
"579","Ndufa2","ENSMUSG00000014294","17991"
"580","Hnrnpa3","ENSMUSG00000059005","229279"
"582","Adam22","ENSMUSG00000040537","11496"
"583","Tax1bp1","ENSMUSG00000004535","52440"
"584","Smarca2","ENSMUSG00000024921","67155"
"585","Heg1","ENSMUSG00000075254","77446"
"586","Tspyl1","ENSMUSG00000047514","22110"
"589","Eif5a","ENSMUSG00000078812","276770"
"590","Fbn1","ENSMUSG00000027204","14118"
