"","Cluster","group","othergroup","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"586","Exc-neuron.circadian","Exc-neuron","circadian","GO:0034763","negative regulation of transmembrane transport","30/1745","149/28943",4.66173195617452e-09,2.45318298170799e-07,1.74089014722616e-07,"67704/216190/65106/12313/12314/12315/100503659/26903/16592/14167/14697/14783/329152/384783/66383/17999/18245/57320/18611/98496/19052/19055/19057/19058/18751/19735/19736/22218/22333/22627",30
"591","Exc-neuron.circadian","Exc-neuron","circadian","GO:0032411","positive regulation of transporter activity","29/1745","143/28943",7.0540269107238e-09,3.54928932981682e-07,2.51873703266564e-07,"20927/11554/238276/432442/109676/11838/11931/12293/12298/81905/12313/12314/12315/12631/13405/14169/15512/16485/214162/17992/57320/19055/19057/19058/433809/11739/237611/22218/57816",29
"599","Exc-neuron.circadian","Exc-neuron","circadian","GO:0032886","regulation of microtubule-based process","42/1745","268/28943",1.30432226923773e-08,6.13245289864559e-07,4.351867312461e-07,"11789/67378/77744/68566/73420/52004/12569/70799/319675/68953/75608/66917/76499/12794/74256/26903/14228/14544/14677/193740/15511/15505/16568/16578/17755/213582/76890/260315/380684/18148/74934/18472/18479/241035/20620/19353/19878/27050/20617/16765/20257/20262",42
"601","Exc-neuron.circadian","Exc-neuron","circadian","GO:0099590","neurotransmitter receptor internalization","14/1745","38/28943",1.9513999788553e-08,9.02679861186615e-07,6.40582658593672e-07,"238276/71770/11773/232910/11838/81905/68566/15444/17920/17999/211323/19058/20614/104015",14
"608","Exc-neuron.circadian","Exc-neuron","circadian","GO:0032970","regulation of actin filament-based process","55/1745","416/28943",3.94557238805376e-08,1.7276185662501e-06,1.22599665926909e-06,"11465/11554/109676/11840/70497/216831/192662/56443/76709/56378/67771/74192/11928/11938/108100/101314/12343/234695/12488/16423/12540/12569/12631/76499/12721/12386/216033/20312/13383/56431/14158/225288/14260/14086/14758/15461/544963/75339/14489/18213/18479/57028/18643/18645/19353/19736/19878/16765/22218/21872/19240/19241/22003/68667/76260",55
"611","Exc-neuron.circadian","Exc-neuron","circadian","GO:0042026","protein refolding","11/1745","24/28943",4.45541194132506e-08,1.90718230562989e-06,1.35342325036166e-06,"70369/12955/15502/15519/193740/15511/15512/14828/15481/15510/70356",11
"614","Exc-neuron.circadian","Exc-neuron","circadian","GO:0060996","dendritic spine development","26/1745","129/28943",4.75849979120784e-08,1.992317868786e-06,1.41383931560513e-06,"11816/11838/11840/11843/216831/108100/70237/232560/12540/12569/12631/66797/13385/13631/15387/66225/17118/18472/18479/20620/327814/19353/330222/235072/217692/108672",26
"615","Exc-neuron.circadian","Exc-neuron","circadian","GO:0051962","positive regulation of nervous system development","50/1745","366/28943",5.72515401688731e-08,2.3796727131062e-06,1.68872391939765e-06,"210933/238276/11816/11951/12017/108100/19716/70237/232560/12405/65945/20312/13193/13508/13631/13654/14365/14567/331461/16653/242384/216028/243499/17755/17118/53605/18039/211323/18189/18213/18390/18472/18479/19016/28000/14083/19242/19266/19744/19876/268902/67891/68585/20616/66354/104015/21844/665113/69137/22596",50
"616","Exc-neuron.circadian","Exc-neuron","circadian","GO:0009314","response to radiation","56/1745","432/28943",5.89194302005505e-08,2.42083814306392e-06,1.71793677956915e-06,"20927/11820/232975/107976/20893/12144/231841/12190/12290/12298/12424/12443/12444/110911/66797/12952/12955/107986/72108/67068/13653/50758/14697/64378/14810/66467/15461/15932/214162/16653/26414/234593/17999/18004/246317/18148/98415/18627/19016/19045/19049/408022/58186/19893/19941/94229/20656/72931/66131/22166/22210/71101/22427/22591/22596/226409",56
"623","Exc-neuron.circadian","Exc-neuron","circadian","GO:0048588","developmental cell growth","41/1745","273/28943",6.54740717836311e-08,2.57232380651307e-06,1.82543789176137e-06,"11549/11554/11816/11820/11951/319974/76499/12891/211232/210108/13175/13193/12934/13508/110196/14567/15387/15519/15516/66225/17755/23945/17751/17984/18213/56177/18472/18479/18786/19735/19736/116838/74132/67891/68585/235072/11739/20562/234214/20983/21960",41
