"","X","X.1.x","p_val.x.x","avg_log2FC.x.x","pct.1.x.x","pct.2.x.x","p_val_adj.x.x","p_val.y.x","avg_log2FC.y.x","pct.1.y.x","pct.2.y.x","p_val_adj.y.x","hits.in.circadian.databases.x","X.1.y","p_val.x.y","avg_log2FC.x.y","pct.1.x.y","pct.2.x.y","p_val_adj.x.y","p_val.y.y","avg_log2FC.y.y","pct.1.y.y","pct.2.y.y","p_val_adj.y.y","hits.in.circadian.databases.y"
"55","Cox8a",420,5.84e-157,0.603277835,0.696,0.52,2.04e-152,1.06e-62,-0.280054235,0.593,0.696,3.71e-58,"1",68,2.25e-30,0.556259181,0.67,0.536,7.85e-26,7.58e-13,-0.340758414,0.613,0.67,2.64e-08,"1"
"56","Cpeb1",422,2.44e-16,-0.117234682,0.431,0.508,8.51e-12,2.38e-16,0.160422122,0.512,0.431,8.29e-12,"2",70,1.73e-09,-0.23198433,0.275,0.375,6.04e-05,2.15e-11,0.238705416,0.393,0.275,7.48e-07,"2"
"57","Cryab",436,2.8e-45,0.25638224,0.152,0.072,9.78e-41,3.04e-44,-0.242398328,0.07,0.152,1.06e-39,"#N/A",71,1e-12,0.286836779,0.159,0.078,3.49e-08,9.64e-10,-0.252255265,0.089,0.159,3.36e-05,"#N/A"
"58","Csmd1",437,9.45e-133,-0.234988643,0.969,0.991,3.29e-128,5.16e-43,0.161591419,0.96,0.969,1.8e-38,"#N/A",72,1.32e-10,-0.232883218,0.888,0.963,4.59e-06,3.73e-11,0.252147507,0.96,0.888,1.3e-06,"#N/A"
"59","Ctxn1",449,1.74e-35,0.306217608,0.441,0.35,6.07e-31,1.95e-26,-0.250461977,0.367,0.441,6.8e-22,"#N/A",73,1.17e-08,0.278935415,0.215,0.142,0.00040781,4.47e-09,-0.323179477,0.141,0.215,0.000155704,"#N/A"
"60","Ddhd2",477,3.59e-18,-0.116115987,0.435,0.519,1.25e-13,4.89e-10,0.091818883,0.505,0.435,1.71e-05,"2",75,1.17e-08,-0.176820987,0.342,0.445,0.000408669,1.02e-11,0.221390863,0.473,0.342,3.57e-07,"2"
"61","Ddx5",484,1.53e-18,0.182787347,0.832,0.819,5.35e-14,4.28e-34,-0.204618771,0.793,0.832,1.49e-29,"#N/A",76,5.2e-15,0.424085064,0.7,0.661,1.81e-10,6.26e-13,-0.408747775,0.669,0.7,2.18e-08,"#N/A"
"62","Dnaja1",505,5.9e-85,0.445210024,0.522,0.377,2.06e-80,4.47e-72,-0.393510767,0.387,0.522,1.56e-67,"3",77,1.09e-17,0.480929179,0.46,0.34,3.8e-13,1.94e-07,-0.30664712,0.407,0.46,0.006775062,"3"
"63","Dynll1",526,6.63e-147,0.611503903,0.665,0.487,2.31e-142,2.32e-109,-0.470788497,0.51,0.665,8.09e-105,"6",78,2.43e-42,0.722471708,0.508,0.298,8.46e-38,1.56e-31,-0.650293774,0.342,0.508,5.45e-27,"6"
"64","Egr1",546,5.41e-185,0.656885093,0.412,0.187,1.89e-180,3.39e-307,-0.843700797,0.11,0.412,1.18e-302,"1",81,1.31e-22,0.483243174,0.195,0.079,4.56e-18,1.5e-36,-0.580542845,0.05,0.195,5.24e-32,"1"
