X.1,X,p_val.x,avg_log2FC.x,pct.1.x,pct.2.x,p_val_adj.x,p_val.y,avg_log2FC.y,pct.1.y,pct.2.y,p_val_adj.y,hits in circadian databases
84,Ackr4,5.37E-13,-0.068810617,0.08,0.12,1.87E-08,2.74E-13,0.069371924,0.123,0.08,9.56E-09,#N/A
85,Acsl1,4.58E-19,-0.126532794,0.214,0.283,1.60E-14,1.24E-13,0.103795857,0.279,0.214,4.32E-09,11
88,Actn4,4.89E-07,-0.078736742,0.399,0.445,0.017044476,5.23E-08,-0.098382909,0.361,0.399,0.001823156,3
89,Adam22,6.96E-28,-0.168248052,0.742,0.812,2.43E-23,2.55E-11,0.12433705,0.779,0.742,8.91E-07,1
91,Adam33,3.63E-35,-0.224113464,0.084,0.155,1.27E-30,3.21E-11,0.083768595,0.123,0.084,1.12E-06,#N/A
92,Adcy2,3.42E-33,-0.194546315,0.82,0.89,1.19E-28,3.02E-37,0.260940133,0.853,0.82,1.05E-32,#N/A
93,Adgrb3,4.33E-10,0.063307502,0.959,0.984,1.51E-05,1.02E-16,0.109499039,0.948,0.959,3.57E-12,#N/A
94,Ado,1.24E-06,0.052701375,0.051,0.034,0.043162042,1.92E-08,-0.052078565,0.03,0.051,0.000668427,1
95,Adpgk,1.71E-08,-0.0417604,0.055,0.081,0.000595645,1.30E-06,0.04293123,0.078,0.055,0.045165538,1
96,Adra1a,4.86E-10,-0.067373346,0.136,0.177,1.69E-05,6.19E-13,0.116197875,0.187,0.136,2.16E-08,2
97,Adrb1,5.93E-07,0.126678456,0.254,0.22,0.020664237,4.63E-29,-0.229822421,0.175,0.254,1.61E-24,#N/A
99,Agk,7.52E-10,-0.080715868,0.272,0.324,2.62E-05,4.98E-11,0.096341735,0.335,0.272,1.74E-06,#N/A
100,Agl,3.10E-15,-0.092216559,0.096,0.142,1.08E-10,4.15E-11,0.072415617,0.136,0.096,1.45E-06,2
101,Ago2,3.01E-08,0.135663623,0.294,0.256,0.001048018,2.63E-08,-0.128559625,0.259,0.294,0.000915823,#N/A
102,Ago3,8.14E-13,0.164272966,0.614,0.587,2.84E-08,8.46E-13,-0.147320055,0.586,0.614,2.95E-08,#N/A
103,Ahcyl2,4.89E-21,-0.14544673,0.588,0.668,1.70E-16,3.29E-07,0.109006273,0.635,0.588,0.011457802,3
104,Ahsa1,2.66E-09,0.097837962,0.181,0.142,9.28E-05,7.09E-07,-0.077250682,0.148,0.181,0.024729973,4
105,AI115009,1.16E-14,-0.055878614,0.029,0.057,4.04E-10,3.55E-12,0.048952848,0.055,0.029,1.24E-07,#N/A
106,AI480526,1.44E-13,-0.105926427,0.184,0.238,5.01E-09,6.06E-10,0.082019012,0.235,0.184,2.11E-05,#N/A
107,Aimp1,1.42E-13,0.17946413,0.295,0.242,4.94E-09,4.08E-11,-0.140876119,0.252,0.295,1.42E-06,#N/A
108,Akap11,1.39E-09,0.145326048,0.52,0.486,4.84E-05,6.10E-10,-0.102958202,0.488,0.52,2.13E-05,1
109,Akap5,1.31E-09,0.131325586,0.224,0.184,4.58E-05,1.61E-10,-0.135570545,0.182,0.224,5.62E-06,#N/A
111,Akirin2,2.08E-13,0.175906634,0.294,0.242,7.27E-09,5.07E-09,-0.132454034,0.255,0.294,0.000176934,#N/A
112,Akr1b10,7.68E-08,-0.041056534,0.022,0.039,0.002677731,9.98E-07,0.045149253,0.038,0.022,0.034804474,#N/A
113,Akt3,5.50E-08,-0.076975952,0.808,0.841,0.001918666,2.12E-11,0.133408366,0.826,0.808,7.40E-07,1
114,Alcam,6.89E-32,0.332241748,0.642,0.578,2.40E-27,9.54E-22,-0.226296169,0.574,0.642,3.32E-17,5
115,Aldh1a1,4.15E-13,-0.061941782,0.052,0.085,1.45E-08,8.39E-15,0.065418769,0.089,0.052,2.93E-10,3
117,Alg2,5.02E-11,0.106258242,0.162,0.121,1.75E-06,3.61E-13,-0.096879849,0.117,0.162,1.26E-08,#N/A
118,Alg6,8.92E-22,-0.114460447,0.127,0.191,3.11E-17,6.33E-22,0.113199143,0.195,0.127,2.21E-17,#N/A
119,Alg8,7.48E-08,-0.050363031,0.076,0.104,0.00260887,4.78E-07,0.044493009,0.104,0.076,0.016656215,#N/A
120,Alkbh3,5.15E-08,-0.05201677,0.074,0.102,0.001795327,2.39E-07,0.046716292,0.102,0.074,0.008328355,1
121,Amer2,5.19E-12,0.11006312,0.18,0.135,1.81E-07,1.59E-15,-0.11962772,0.129,0.18,5.53E-11,#N/A
122,Ammecr1l,1.34E-13,-0.101904991,0.145,0.194,4.67E-09,1.09E-06,0.048846343,0.181,0.145,0.037915161,#N/A
126,Ankdd1a,7.27E-07,-0.022167306,0.011,0.022,0.025346375,3.37E-09,0.027069515,0.025,0.011,0.000117631,#N/A
127,Ankef1,3.25E-15,-0.068837219,0.055,0.092,1.13E-10,3.20E-09,0.046859457,0.084,0.055,0.000111529,#N/A
129,Ankrd44,1.55E-22,-0.138450844,0.094,0.151,5.41E-18,2.47E-14,0.099658074,0.14,0.094,8.59E-10,#N/A
130,Ankrd63,4.37E-10,0.05158664,0.04,0.021,1.52E-05,8.34E-10,-0.048130289,0.02,0.04,2.91E-05,#N/A
131,Ano2,6.70E-09,-0.027477521,0.006,0.016,0.000233681,1.24E-08,0.020078297,0.017,0.006,0.000433146,#N/A
132,Ano3,1.51E-29,-0.207530852,0.794,0.855,5.27E-25,2.66E-14,0.170613681,0.828,0.794,9.29E-10,#N/A
133,Anp32a,1.82E-15,0.181066008,0.311,0.255,6.34E-11,3.57E-12,-0.119205918,0.261,0.311,1.25E-07,8
134,Anp32e,1.02E-12,0.124914124,0.144,0.102,3.57E-08,1.06E-09,-0.091205015,0.108,0.144,3.69E-05,2
135,Ap1s1,1.04E-06,0.14311325,0.27,0.237,0.036375663,3.22E-10,-0.146693101,0.227,0.27,1.12E-05,#N/A
136,Ap2b1,8.58E-09,0.131707421,0.577,0.548,0.000299133,8.36E-24,-0.176852976,0.515,0.577,2.92E-19,1
137,Ap2m1,4.28E-33,0.281672003,0.313,0.224,1.49E-28,3.51E-20,-0.199072423,0.247,0.313,1.22E-15,#N/A
138,Ap2s1,1.85E-19,0.191544828,0.192,0.135,6.46E-15,1.82E-11,-0.142658863,0.149,0.192,6.34E-07,1
