"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"58","Egr1",3.32157804429342e-16,0.603343093865956,0.137,0.043,1.15813461670379e-11,1.10655386843169e-28,-0.677284446242499,0.031,0.137,3.85822137306076e-24
"59","Eid1",8.23394077970123e-12,0.515051650020433,0.3,0.19,2.87092813165843e-07,1.15515268903938e-07,-0.350751475408473,0.228,0.3,0.00402767088087362
"60","Eif1",3.0397010880304e-18,0.575831270429671,0.535,0.389,1.05985257836356e-13,1.52345620030138e-14,-0.402825876036728,0.422,0.535,5.31183473359082e-10
"61","Enc1",5.99143654213617e-08,0.419050509672418,0.157,0.087,0.00208903417914662,2.26525964340539e-10,-0.397651474105432,0.085,0.157,7.89828079866159e-06
"62","Ermn",8.97401419123319e-08,0.217172116339003,0.062,0.019,0.00312896952805728,2.10748898695371e-07,-0.229434814561198,0.025,0.062,0.00734818185081151
"63","Fau",6.92956817399793e-23,0.672509996171563,0.395,0.223,2.41613253522786e-18,3.99232346271241e-14,-0.459235580123016,0.28,0.395,1.39200342174394e-09
"64","Fgf14",2.02515404467835e-15,-0.432800304495915,0.383,0.543,7.06110460758001e-11,9.27861203409333e-17,0.54316630337776,0.521,0.383,3.23517365792732e-12
"65","Fkbp1a",5.97280874712463e-10,0.450993867007752,0.257,0.164,2.08253922585995e-05,1.42826609213961e-08,-0.355157191096469,0.179,0.257,0.000497993538346318
"66","Fth1",6.11425188559542e-54,0.829729515690505,0.798,0.574,2.13185620495055e-49,2.12054169925683e-53,-0.714245703828272,0.607,0.798,7.3936927427988e-49
"67","Gapdh",8.93560762973793e-49,0.815254604135268,0.721,0.494,3.11557831226072e-44,4.16731231566714e-31,-0.526929589870229,0.568,0.721,1.45301678510366e-26
"68","Gldc",2.95425602800349e-08,-0.309291130984716,0.307,0.406,0.00103006044928398,2.84310659494698e-07,0.275258401238428,0.391,0.307,0.00991305976460165
"69","Gm26512",5.26962935122064e-26,-0.655124739826286,0.198,0.388,1.8373616658901e-21,1.24815899936419e-17,0.51587156851327,0.335,0.198,4.35195598308313e-13
