"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y"
"34","Gapdh",5.36821388836229e-30,0.825044566357117,0.671,0.443,1.87173513645528e-25,2.44979629010713e-13,-0.454055708110482,0.532,0.671,8.54170472471653e-09
"35","Gm13710",6.18161817703732e-08,-0.619403232081334,0.049,0.123,0.0021553448097876,3.83762359178249e-08,0.578375377904635,0.122,0.049,0.0013380642177468
"36","Hdac9",1.528039357883e-11,-0.628735362834218,0.218,0.362,5.32781482913067e-07,1.65154169537631e-08,0.613098847272486,0.325,0.218,0.000575843042926857
"37","Hsp90aa1",4.08517726415857e-12,0.554433207600643,0.585,0.443,1.42437875669417e-07,1.02663337286718e-15,-0.615172546886352,0.425,0.585,3.579562581176e-11
"38","Hsp90ab1",6.51653205724211e-19,0.609599121234151,0.739,0.566,2.2721192323986e-14,1.44091965051812e-23,-0.652472974113548,0.557,0.739,5.02405454546152e-19
"39","Hspa5",5.45715461356533e-13,0.746089356059271,0.313,0.172,1.90274609911182e-08,4.123383303686e-13,-0.692672837272167,0.18,0.313,1.4377000564962e-08
"40","Hspa8",1.27416571947412e-14,0.677343728182502,0.561,0.404,4.44263361409043e-10,1.84121827307218e-11,-0.551110946536268,0.442,0.561,6.41977575272078e-07
"41","Hspe1",4.77595919238385e-07,0.531956692003686,0.183,0.102,0.0166523369160848,5.37013390258716e-07,-0.476879239573408,0.107,0.183,0.0187240458781507
"42","Lmo4",4.6724579262787e-11,0.657882995841393,0.31,0.18,1.62914590515559e-06,3.18615431720135e-07,-0.45661271045602,0.21,0.31,0.011109164257786
"43","Lrmda",3.94741498282269e-12,-0.51962369797914,0.516,0.658,1.37634518206079e-07,1.43595333905688e-09,0.472728341631,0.62,0.516,5.00673850728964e-05
"44","Ltc4s",9.94378692507737e-07,-0.537378246138627,0.162,0.255,0.0346710018716673,6.22608025012828e-08,0.572665631379999,0.262,0.162,0.00217084740081223
"45","Luc7l2",2.60389103994544e-14,-0.593656808921696,0.34,0.515,9.07898688897776e-10,2.80548153068782e-13,0.56073428424633,0.494,0.34,9.78187245304922e-09
"46","Macf1",7.13681725982763e-10,-0.40823389176187,0.569,0.686,2.4883940739841e-05,9.27575799657833e-09,0.354103003194531,0.672,0.569,0.000323417854066697
"47","Malat1",3.49267714206236e-70,-0.303127061920245,1,1,1.21779173912288e-65,4.47463871902618e-23,0.161469073497191,1,1,1.56017228216286e-18
"48","Mdh1",1.91793407732939e-16,0.726937914193149,0.457,0.274,6.68726074742439e-12,3.77567153700177e-09,-0.483528855990261,0.335,0.457,0.000131646339480641
"49","Mdh2",2.49125105528826e-07,0.516772978394021,0.237,0.142,0.00868624505447357,1.16650319760228e-07,-0.495656663142334,0.144,0.237,0.00406724669907987
"50","Mir99ahg",3.97748708639515e-10,-0.426230099887232,0.573,0.674,1.3868304224134e-05,1.48779100603996e-10,0.390928885163436,0.681,0.573,5.18748090075952e-06
"51","Myl6",4.1699637747017e-09,0.573775864086488,0.292,0.178,0.000145394126932524,2.34736362340862e-07,-0.48143465236508,0.197,0.292,0.00818455274573883
"52","Nav2",1.40578519958748e-10,-0.371266158395827,0.712,0.823,4.90155125540168e-06,9.52522784020204e-10,0.347695639649654,0.788,0.712,3.32116119104325e-05
"53","Nav3",4.49507375758689e-33,-0.7768602423752,0.62,0.82,1.56729736705782e-28,7.23503636011809e-18,0.579686186656644,0.759,0.62,2.52264012768237e-13
"54","Nme1",8.08472610309389e-12,0.692721545994441,0.265,0.137,2.81890145036575e-07,4.92917278407756e-11,-0.684165885862408,0.152,0.265,1.71865467462432e-06
