"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","X.1","Targets.of.Pbx3","X.2","X.3","X.4","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"766","Nol4",4.88e-22,-0.178790085,0.814,0.844,1.7e-17,NA,"Wt1","Wt1",-3.48106e-05,1,-0.178790085,2.98601059912472e-25,0.213362737868274,0.85,0.814,1.04113231559682e-20,0.213362737868274,"sig","#E7B800"
"767","Npas2",1.28e-09,-0.127401865,0.56,0.588,4.46e-05,NA,"","",NA,NA,-0.127401865,6.31694834127004e-05,0.0977765668540194,0.591,0.56,1,0.0977765668540194,"non-sig","#00AFBB"
"768","Npas4",1.26e-09,-0.116649056,0.06,0.09,4.39e-05,NA,"","",NA,NA,-0.116649056,0.677550178416721,0.00199881449578654,0.058,0.06,1,0.00199881449578654,"non-sig","#00AFBB"
"769","Npc1",7.16e-08,0.072678199,0.219,0.174,0.002495744,NA,"","",NA,NA,0.072678199,0.000194414207804509,-0.0488021172611058,0.188,0.219,1,-0.0488021172611058,"non-sig","#00AFBB"
"770","Nptx2",1.85e-12,-0.080529656,0.034,0.064,6.46e-08,NA,"Tcf3","Tcf3",-0.029987205,1,-0.080529656,0.159426884164805,0.0177734942749638,0.04,0.034,1,0.0177734942749638,"non-sig","#00AFBB"
"771","Npy",8.77e-14,-0.098610915,0.199,0.257,3.06e-09,NA,"Hivep3","Hivep3",0.111178912,0.952698626,-0.098610915,4.856231284788e-07,0.0135068463796907,0.243,0.199,0.0169322216206703,0.0135068463796907,"sig","#E7B800"
"772","Nr1d2",1.76e-17,0.147762359,0.409,0.315,6.13e-13,NA,"Isl1","Isl1",0.005323672,1,0.147762359,0.00057757382464457,-0.0761880162417667,0.373,0.409,1,-0.0761880162417667,"non-sig","#00AFBB"
"773","Nr3c2",8.12e-11,0.19067297,0.478,0.418,2.83e-06,NA,"","",NA,NA,0.19067297,0.00022174771257088,-0.100132445933582,0.447,0.478,1,-0.100132445933582,"non-sig","#00AFBB"
"774","Nr4a1",5.6e-22,-0.21386748,0.241,0.311,1.95e-17,NA,"Arntl","Arntl",-0.258436959,2.92238e-25,-0.21386748,0.0114644025673239,-0.0546316200808287,0.219,0.241,1,-0.0546316200808287,"non-sig","#00AFBB"
"775","Nr4a3",1.69e-12,-0.112036011,0.056,0.091,5.91e-08,NA,"Kdm2b","Kdm2b",0.038674312,1,-0.112036011,0.0013856681516846,-0.0225985414669528,0.041,0.056,1,-0.0225985414669528,"non-sig","#00AFBB"
"776","Nrcam",4.32e-09,-0.073833607,0.899,0.935,0.000150624,NA,"","",NA,NA,-0.073833607,9.58216784917124e-11,0.099043576883505,0.926,0.899,3.34101446397053e-06,0.099043576883505,"sig","#E7B800"
"777","Nrde2",8.16e-08,0.043999868,0.077,0.051,0.002843918,NA,"","",NA,NA,0.043999868,0.00045654561458372,-0.0236413588510589,0.059,0.077,1,-0.0236413588510589,"non-sig","#00AFBB"
"778","Nrep",3.04e-12,-0.102852169,0.062,0.099,1.06e-07,NA,"Anpep","Anpep",0.000661063,1,-0.102852169,3.69644162465086e-16,0.115151881934615,0.108,0.062,1.28883830126702e-11,0.115151881934615,"sig","#E7B800"
"779","Nrg3",1.65e-101,-0.197331322,0.976,0.99,5.75e-97,NA,"Ep300","Ep300",-0.00875776,1,-0.197331322,3.64508937155506e-87,0.196319639871581,0.977,0.976,1.2709333111801e-82,0.196319639871581,"sig","#E7B800"
"780","Nrg3os",1.62e-39,-0.199527216,0.906,0.954,5.65e-35,NA,"Hdac2","Hdac2",-0.005696063,1,-0.199527216,0.00276838165446732,-0.0591431117718937,0.915,0.906,1,-0.0591431117718937,"non-sig","#00AFBB"
"781","Nrgn",3.64e-08,-0.056658504,0.857,0.877,0.001268328,NA,"","",NA,NA,-0.056658504,0.0561812159849754,0.0249972591861778,0.873,0.857,1,0.0249972591861778,"non-sig","#00AFBB"
"782","Nrn1",4.48e-23,-0.239467436,0.442,0.5,1.56e-18,NA,"Rorc","Rorc",-0.000505985,1,-0.239467436,3.90802260455524e-05,0.1136207827294,0.472,0.442,1,0.1136207827294,"non-sig","#00AFBB"
"783","Nrxn3",1.18e-43,-0.200658427,0.968,0.985,4.11e-39,NA,"Foxp3","Foxp3",0.004360436,1,-0.200658427,7.82896764112284e-60,0.282093087638087,0.973,0.968,2.7297261474303e-55,0.282093087638087,"sig","#E7B800"
"784","Nt5dc1",5.44e-08,0.064621837,0.217,0.168,0.001897117,NA,"","",NA,NA,0.064621837,0.661565339385984,0.0169117824276003,0.217,0.217,1,0.0169117824276003,"non-sig","#00AFBB"
"785","Ntng1",2.03e-07,0.08314576,0.336,0.382,0.007065756,NA,"","",NA,NA,0.08314576,0.0217728795753521,-0.104535129329756,0.358,0.336,1,-0.104535129329756,"non-sig","#00AFBB"
"786","Ntrk2",2.19e-32,-0.18598217,0.862,0.895,7.63e-28,NA,"Tead1","Tead1",-0.047035359,1,-0.18598217,1.73688985643616e-07,0.080549256191619,0.882,0.862,0.00605601386243596,0.080549256191619,"sig","#E7B800"
"787","Ntsr2",2.03e-12,0.061679199,0.061,0.032,7.06e-08,NA,"Nr5a1","Nr5a1",-0.001438925,1,0.061679199,0.00608042958880966,-0.0215576052010955,0.048,0.061,1,-0.0215576052010955,"non-sig","#00AFBB"
"788","Nudcd2",6.72e-09,0.058483896,0.154,0.113,0.00023424,NA,"","",NA,NA,0.058483896,0.0390227981774431,-0.0368133234384852,0.14,0.154,1,-0.0368133234384852,"non-sig","#00AFBB"
"789","Nudt4",1.51e-07,-0.101215496,0.166,0.2,0.00525603,NA,"","",NA,NA,-0.101215496,0.704104793162522,0.0190881255242396,0.168,0.166,1,0.0190881255242396,"non-sig","#00AFBB"
"790","Numb",3.77e-21,-0.174869498,0.711,0.75,1.31e-16,NA,"Bhlhe40","Bhlhe40",-0.055694199,1,-0.174869498,0.0940298742058123,0.0165472863530551,0.723,0.711,1,0.0165472863530551,"non-sig","#00AFBB"
"791","Nusap1",9.59e-07,0.035220497,0.049,0.031,0.033435121,NA,"","",NA,NA,0.035220497,0.0873684092538975,-0.0133983483082432,0.042,0.049,1,-0.0133983483082432,"non-sig","#00AFBB"
"792","Nwd2",2.11e-16,-0.189783599,0.564,0.616,7.36e-12,NA,"Neurod2","Neurod2",-0.02911857,1,-0.189783599,2.03155160661691e-09,0.197967629628939,0.597,0.564,7.08341098679119e-05,0.197967629628939,"sig","#E7B800"
"793","Oacyl",3.7e-10,0.051126718,0.072,0.043,1.29e-05,NA,"","",NA,NA,0.051126718,0.202311826567174,0.0133829655417463,0.078,0.072,1,0.0133829655417463,"non-sig","#00AFBB"
"794","Olfm1",5.74e-18,-0.116679634,0.804,0.839,2e-13,NA,"Smarca5","Smarca5",-0.004034856,1,-0.116679634,1.2406798413599e-11,-0.138584453802112,0.777,0.804,4.32587840286957e-07,-0.138584453802112,"sig","#E7B800"
"795","Olfr539",2.21e-08,0.042740785,0.089,0.06,0.000769644,NA,"","",NA,NA,0.042740785,0.014868846670943,-0.0273391955904887,0.076,0.089,1,-0.0273391955904887,"non-sig","#00AFBB"
"796","Olfr690",2.08e-07,0.025566864,0.031,0.015,0.007251198,NA,"","",NA,NA,0.025566864,0.101374914033231,-0.00821835386678131,0.025,0.031,1,-0.00821835386678131,"non-sig","#00AFBB"
"797","Orc3",2.36e-13,0.102224262,0.344,0.268,8.24e-09,NA,"Tp53","#N/A",NA,NA,0.102224262,0.98160664733671,0.0104967298743854,0.341,0.344,1,0.0104967298743854,"non-sig","#00AFBB"
"798","Osbp2",6.72e-07,-0.114924232,0.511,0.531,0.02342597,NA,"","",NA,NA,-0.114924232,0.454557695264479,0.0103855050561348,0.513,0.511,1,0.0103855050561348,"non-sig","#00AFBB"
"799","Osbpl3",2.72e-15,-0.161241777,0.377,0.435,9.47e-11,NA,"Cbx3","Cbx3",0.039854874,1,-0.161241777,3.26504179838174e-11,0.123402531976988,0.437,0.377,1.13842212384176e-06,0.123402531976988,"sig","#E7B800"
"800","Otof",4.5e-09,0.090480871,0.121,0.086,0.000156861,NA,"","",NA,NA,0.090480871,0.00301612866404728,-0.0659061705417349,0.102,0.121,1,-0.0659061705417349,"non-sig","#00AFBB"
"801","Otud7a",1.82e-20,-0.135122354,0.86,0.903,6.34e-16,NA,"Tbx21","Tbx21",0.013691677,1,-0.135122354,3.27341859011349e-08,0.0825118034510384,0.88,0.86,0.00114134285981487,0.0825118034510384,"sig","#E7B800"
"802","Oxct1",8.83e-08,-0.098842245,0.663,0.679,0.003077554,NA,"","",NA,NA,-0.098842245,0.0357999759218519,0.046204661587512,0.678,0.663,1,0.046204661587512,"non-sig","#00AFBB"
"803","Pacsin1",1.14e-14,-0.14417907,0.758,0.783,3.96e-10,NA,"Kdm5c","Kdm5c",0.078589134,0.055204638,-0.14417907,0.00515399865658193,-0.0530491166695912,0.748,0.758,1,-0.0530491166695912,"non-sig","#00AFBB"
"804","Pak5",4.07e-29,-0.1832267,0.839,0.881,1.42e-24,NA,"Bach2","Bach2",-0.128074561,0.001283082,-0.1832267,2.32068654138942e-26,0.217192412984186,0.866,0.839,8.09153776386247e-22,0.217192412984186,"sig","#E7B800"
"805","Pak6",5.29e-08,-0.124560295,0.161,0.196,0.001845454,NA,"","",NA,NA,-0.124560295,0.0373386165039505,0.0424256853756104,0.176,0.161,1,0.0424256853756104,"non-sig","#00AFBB"
"806","Parp8",7.42e-09,-0.11603521,0.237,0.275,0.000258738,NA,"","",NA,NA,-0.11603521,2.26391088212375e-07,0.0976874605210393,0.277,0.237,0.00789357807270088,0.0976874605210393,"sig","#E7B800"
"807","Pbx1",6.33e-12,0.130151652,0.901,0.906,2.21e-07,NA,"Gata2","Gata2",0,1,0.130151652,0.00255774098324175,-0.0765816026584845,0.905,0.901,1,-0.0765816026584845,"non-sig","#00AFBB"
"808","Pcdh10",4.57e-13,0.180369532,0.723,0.661,1.59e-08,NA,"Fos","Fos",-0.068871659,1.83703e-08,0.180369532,0.506823979705205,0.00129032431747533,0.731,0.723,1,0.00129032431747533,"non-sig","#00AFBB"
"809","Pcdh11x",3.36e-20,-0.241933203,0.359,0.43,1.17e-15,NA,"Hdac3","Hdac3",-0.004616507,1,-0.241933203,1.57642259203776e-11,0.198967551943001,0.413,0.359,5.49651265165805e-07,0.198967551943001,"sig","#E7B800"
"810","Pcdh17",4.38e-07,0.149421623,0.454,0.398,0.015274058,NA,"","",NA,NA,0.149421623,0.0516284083999152,-0.0450157251872227,0.433,0.454,1,-0.0450157251872227,"non-sig","#00AFBB"
