"","X","p_val.x","avg_log2FC.x","pct.1.x","pct.2.x","p_val_adj.x","avg_log2FC_N4_N1_DEGs","p_val.y","avg_log2FC.y","pct.1.y","pct.2.y","p_val_adj.y","avg_log2FC_N5_N4","N5_N4_sig","color.code"
"200","Gm31356",3.06180703820547e-08,0.21703779567301,0.188,0.141,0.0010675602600111,0.21703779567301,0.0862187844334701,-0.00725306738000242,0.171,0.188,1,-0.00725306738000242,"non-sig","#00AFBB"
"201","Gm34408",1.57358772342968e-09,0.235485763166798,0.102,0.065,5.48662831528226e-05,0.235485763166798,0.012196029260366,-0.057989685594351,0.086,0.102,1,-0.057989685594351,"non-sig","#00AFBB"
"202","Gm35552",2.17382233112642e-11,0.264098607854295,0.125,0.081,7.57946632193848e-07,0.264098607854295,0.0119596546157247,-0.0829365344734178,0.109,0.125,1,-0.0829365344734178,"non-sig","#00AFBB"
"203","Gm36944",9.86764951897854e-16,0.210697553917535,0.08,0.039,3.44055335778225e-11,0.210697553917535,0.000180731398370681,-0.091796050079524,0.061,0.08,1,-0.091796050079524,"non-sig","#00AFBB"
"204","Gm38255",3.42603461758446e-08,0.0859896091775177,0.033,0.015,0.00119455549011317,0.0859896091775177,0.0177990619608672,-0.0284971243767217,0.025,0.033,1,-0.0284971243767217,"non-sig","#00AFBB"
"205","Gm4117",9.76584531445105e-08,0.153715755640574,0.098,0.065,0.00340505728578965,0.153715755640574,0.0375719074464658,-0.0398789889054649,0.085,0.098,1,-0.0398789889054649,"non-sig","#00AFBB"
"206","Gm42439",1.46962673508989e-09,0.172209345066024,0.16,0.113,5.12414753723793e-05,0.172209345066024,0.395245958691107,0.00702037032056935,0.153,0.16,1,0.00702037032056935,"non-sig","#00AFBB"
"207","Gm4491",9.95203238751067e-07,0.0965758901926335,0.038,0.02,0.0346997513255334,0.0965758901926335,1.6173951105461e-05,-0.0970886488638402,0.023,0.038,0.563937153194108,-0.0970886488638402,"non-sig","#00AFBB"
"208","Gm45844",2.46103019855317e-07,0.117020253186247,0.074,0.047,0.00858087399329535,0.117020253186247,0.00832686604604144,-0.063768991794296,0.06,0.074,1,-0.063768991794296,"non-sig","#00AFBB"
"209","Gm47283",3.01900183683298e-48,0.382660513465831,0.062,0.005,1.05263537044855e-43,0.382660513465831,1.8720474556215e-60,-0.39234486923245,0.004,0.062,6.52726786351549e-56,-0.39234486923245,"sig","#E7B800"
"210","Gm48742",9.44734706170774e-07,0.157294655767042,0.206,0.161,0.0329400650000564,0.157294655767042,0.000104971576851572,-0.160923377410549,0.176,0.206,1,-0.160923377410549,"non-sig","#00AFBB"
"211","Gm48747",2.20943277742106e-08,0.158588030391153,0.156,0.112,0.000770362926503402,0.158588030391153,0.00964526458390809,-0.0468693191486985,0.136,0.156,1,-0.0468693191486985,"non-sig","#00AFBB"
"212","Gm49599",8.92187983938858e-10,0.121451233761362,0.101,0.062,3.11079184359962e-05,0.121451233761362,0.247122458809574,-0.00173532309410596,0.093,0.101,1,-0.00173532309410596,"non-sig","#00AFBB"
"213","Gm49708",3.72078767742135e-13,0.226755700231958,0.102,0.058,1.2973270394865e-08,0.226755700231958,0.591065205725239,0.0363502746290236,0.104,0.102,1,0.0363502746290236,"non-sig","#00AFBB"
"214","Gm5089",3.7278671938581e-08,0.133350373501224,0.165,0.121,0.0012997954544825,0.133350373501224,0.00122211214668674,-0.0603726749406239,0.14,0.165,1,-0.0603726749406239,"non-sig","#00AFBB"
"215","Gm9895",3.91178572774493e-12,0.247417859472111,0.058,0.027,1.36392232969283e-07,0.247417859472111,0.0286572814652816,-0.0723767355163367,0.048,0.058,1,-0.0723767355163367,"non-sig","#00AFBB"
"216","Gm9925",2.05981431274969e-17,0.274639175640678,0.115,0.062,7.18195456426434e-13,0.274639175640678,1.80110646382911e-06,-0.156561829606465,0.085,0.115,0.0627991790743297,-0.156561829606465,"non-sig","#00AFBB"
"217","Gpatch8",3.9817512762192e-07,0.105579956345485,0.46,0.381,0.0138831721747935,0.105579956345485,0.0171266052219006,-0.0461240786257044,0.422,0.46,1,-0.0461240786257044,"non-sig","#00AFBB"
"218","Gpc6",6.32839481481454e-16,0.383903057835368,0.415,0.333,2.20652142008139e-11,0.383903057835368,6.02200446096637e-08,-0.250835378642458,0.364,0.415,0.00209969229540514,-0.250835378642458,"sig","#E7B800"
"219","Gphn",1.70528392580396e-12,0.212264976093581,0.683,0.606,5.94581346410065e-08,0.212264976093581,0.0139971978113054,-0.0723255787969439,0.658,0.683,1,-0.0723255787969439,"non-sig","#00AFBB"
"220","Grid2",9.32141998773639e-08,0.237901829527225,0.577,0.544,0.00325009950712405,0.237901829527225,0.422937961080519,-0.0341583604307689,0.57,0.577,1,-0.0341583604307689,"non-sig","#00AFBB"
"221","Grm7",7.59339155023382e-08,-0.266107396860042,0.271,0.316,0.00264758783182003,-0.266107396860042,0.000961377633591314,0.300596771120082,0.292,0.271,1,0.300596771120082,"non-sig","#00AFBB"
