"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Pid15",5.14065248521257e-17,1.44678114925378,0.494,0.426,1.79239130201907e-12,"16","Pid1"
"Trpc43",6.48277873021549e-17,1.70870270621212,0.275,0.15,2.26035045986423e-12,"16","Trpc4"
"Tmsb4x5",2.1669748590189e-16,1.17854716059226,0.586,0.602,7.55559124094121e-12,"16","Tmsb4x"
"Pten1",5.03046020825098e-16,1.59516447404043,0.506,0.495,1.75397056081087e-11,"16","Pten"
"Itm2b6",6.99802873872711e-16,1.15455113568726,0.583,0.617,2.44000268033198e-11,"16","Itm2b"
"Apbb22",2.33259318367893e-14,1.5334297049872,0.462,0.424,8.13305265353334e-10,"16","Apbb2"
"Septin72",8.5395114483369e-14,1.15197067709854,0.583,0.641,2.97747145669163e-09,"16","Septin7"
"Srsf11",1.61792691719123e-13,0.294193283518136,0.213,0.535,5.64122578217067e-09,"16","Srsf11"
"Lims13",1.93072580279623e-13,1.55234541291529,0.396,0.312,6.73186165660962e-09,"16","Lims1"
"Atp6v0c4",3.38972617067925e-13,0.90854862880414,0.636,0.747,1.18189582393074e-08,"16","Atp6v0c"
"Cst34",1.75369253655131e-12,0.698481605902784,0.639,0.679,6.11459976719344e-08,"16","Cst3"
"Lin7a5",5.30818562503766e-12,1.76658896601898,0.376,0.309,1.85080508188188e-07,"16","Lin7a"
"Epb41l24",5.35585505691956e-12,0.848684450586059,0.37,0.252,1.86742598269614e-07,"16","Epb41l2"
"Arid1b1",6.06804088574171e-12,0.276307980603814,0.204,0.494,2.11574381563156e-07,"16","Arid1b"
"Atp6v1a1",9.36358818086312e-12,0.281530995838866,0.118,0.335,3.26480229102154e-07,"16","Atp6v1a"
"Stxbp12",1.60849103135336e-11,0.305268652185792,0.189,0.464,5.60832567901976e-07,"16","Stxbp1"
"Sdc2",3.29680055566826e-11,1.50752420482075,0.251,0.155,1.14949544974485e-06,"16","Sdc2"
"Pde4d5",3.49400540805262e-11,0.639005866088542,0.713,0.722,1.21825486562571e-06,"16","Pde4d"
"Ppia4",3.56791994705079e-11,1.04454212576496,0.568,0.647,1.2440266479382e-06,"16","Ppia"
"Gigyf21",4.2946386133428e-11,0.254122452276017,0.148,0.379,1.49741164531423e-06,"16","Gigyf2"
"Pkn2",6.71459968314221e-11,0.285934987196597,0.166,0.409,2.34117947152119e-06,"16","Pkn2"
"Ptpn43",8.07281120732824e-11,0.283799232155792,0.189,0.454,2.81474708365914e-06,"16","Ptpn4"
"U2surp",9.59746077314563e-11,0.274508602795094,0.163,0.401,3.34634664777269e-06,"16","U2surp"
"Immp2l3",1.08874002096614e-10,0.375918684460949,0.192,0.456,3.79610983110265e-06,"16","Immp2l"
"Nf12",1.75639888132706e-10,0.27081470723508,0.237,0.532,6.12403597952306e-06,"16","Nf1"
"Birc62",1.7610621904179e-10,0.332606376055524,0.234,0.537,6.1402955393301e-06,"16","Birc6"
"Hspa4l2",1.82518814035073e-10,0.291839808410994,0.086,0.262,6.36388348896089e-06,"16","Hspa4l"
"Nrgn3",1.84211590379944e-10,0.831509412765203,0.624,0.752,6.42290552177752e-06,"16","Nrgn"
"Psip1",2.16601624517901e-10,0.289042332730584,0.222,0.507,7.55224884206565e-06,"16","Psip1"
"Rsrc12",2.43195298862521e-10,0.293967407851493,0.157,0.386,8.47949048543951e-06,"16","Rsrc1"
"Chd8",2.98838964281573e-10,0.287533027769597,0.112,0.306,1.04196181676056e-05,"16","Chd8"
"Atp2a22",4.47665938183072e-10,0.340941430530547,0.237,0.526,1.56087682666292e-05,"16","Atp2a2"
"Zeb14",4.52840792258861e-10,1.13029159345771,0.467,0.431,1.57891999036897e-05,"16","Zeb1"
"Rbm251",4.97196421892849e-10,0.258118927377177,0.249,0.547,1.7335747642138e-05,"16","Rbm25"
"Pum1",5.52754393334035e-10,0.305422031837952,0.148,0.365,1.92728874323778e-05,"16","Pum1"
"Cdk122",6.00188831829242e-10,0.351396670304895,0.204,0.468,2.09267839993902e-05,"16","Cdk12"
"Clstn11",6.22474951883537e-10,0.32464230090458,0.219,0.498,2.17038341473233e-05,"16","Clstn1"
"Phip1",8.71583157948616e-10,0.251209212134643,0.189,0.434,3.03894899681944e-05,"16","Phip"
"Eml42",8.73442086161245e-10,0.278930433653519,0.145,0.355,3.04543052181841e-05,"16","Eml4"
"Pja21",8.77798689593133e-10,0.285179920801643,0.228,0.51,3.06062069100438e-05,"16","Pja2"
"Cx3cl12",9.60647158217482e-10,0.32409914222899,0.115,0.306,3.34948844655689e-05,"16","Cx3cl1"
"Calm23",9.74356029111364e-10,0.829541203368059,0.633,0.809,3.39728716670259e-05,"16","Calm2"
"Ggps1",1.00956104067253e-09,0.276689965407843,0.115,0.303,3.52003648051291e-05,"16","Ggps1"
"Cab391",1.02224588236223e-09,0.267185260578938,0.095,0.268,3.56426471803239e-05,"16","Cab39"
"Zwint2",1.10720867221118e-09,0.284477385457674,0.201,0.456,3.86050447739873e-05,"16","Zwint"
"Ube2b",1.31750807017056e-09,0.331442510344555,0.234,0.521,4.5937553882637e-05,"16","Ube2b"
"Ggnbp2",1.36469963093488e-09,0.331501745633198,0.169,0.399,4.75829820318065e-05,"16","Ggnbp2"
"Fxr11",1.60937454250314e-09,0.267979828953499,0.157,0.373,5.6114062173457e-05,"16","Fxr1"
"Pkd11",1.6435313652135e-09,0.289117999414408,0.121,0.313,5.7305008110899e-05,"16","Pkd1"
"Snap472",1.67758993699242e-09,0.282805432353211,0.121,0.312,5.84925283331147e-05,"16","Snap47"
"Rb1cc1",1.79075482123043e-09,0.262240177430626,0.195,0.443,6.24382483518412e-05,"16","Rb1cc1"
"Prrc2b",1.96030047063879e-09,0.398188896220356,0.148,0.36,6.83497965097626e-05,"16","Prrc2b"
