"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"33014","Ms4a4d",1.32954429034111,0.0329371531633923,0.0214606549888986,0.98287818899912,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33015","ENSMUSG00000120489",20.0835938790109,0.00828385388539733,0.0214287554449535,0.982903635300993,NA,0.00519255733448724,0.00512032770097286,"SD3D R7","ZT6"
"33016","Gm46576",0.992455224816674,0.0384652748028847,0.0214165749617728,0.982913351690636,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33017","mt-Tt",1.32341021954275,0.0328867947031475,0.0214050604858215,0.982922536807647,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33018","Gm42535",1.66491003481787,0.0286263766139801,0.0213869407034409,0.982936990993392,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33019","Gm22573",1.6614781685439,0.0288720830877483,0.0213545506353012,0.982962828627872,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33020","Gm48125",1.6614781685439,0.0288720830877483,0.0213545506353012,0.982962828627872,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33021","Gm12734",0.99236027289416,0.0383101133509958,0.0213296413659353,0.982982698823515,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33022","Gm35164",0.99236027289416,0.0383101133509958,0.0213296413659353,0.982982698823515,NA,0.000259627866724362,0.000256016385048643,"SD3D R7","ZT6"
"33023","Zpbp",127.688216847288,-0.00358989311564909,-0.0212867544001341,0.983016909903916,0.993425811941344,0.0294244915620943,0.0300392558457075,"SD3D R7","ZT6"
"33024","Gm47154",3.00206014879725,0.0225380090540626,0.0212406689884299,0.983053672430446,NA,0.000778883600173085,0.000682710360129715,"SD3D R7","ZT6"
"33025","4930412M03Rik",1.66245705202062,0.028159553616985,0.02123336212964,0.983059501145708,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
"33026","Degs1",368.399728518783,0.0019265722673407,0.0212238014648597,0.983067127733862,0.993425811941344,0.0883600173085245,0.0886670080218467,"SD3D R7","ZT6"
"33027","Gm12917",1.33297615661508,0.0325501399045694,0.0212210408941258,0.983069329854666,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33028","Fxyd3",1.33297615661508,0.0325501399045694,0.0212210408941258,0.983069329854666,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33029","Rpl18a-ps1",1.33292868065382,0.0324930841669374,0.0211836703802035,0.98309914050946,NA,0.000346170488965816,0.000341355180064858,"SD3D R7","ZT6"
"33030","Gm47345",2.00420579531294,0.029481807445898,0.0211835434882805,0.983099241731852,NA,0.000519255733448723,0.000512032770097286,"SD3D R7","ZT6"
"33031","Fam187b",2.33314399891341,0.0250089967213106,0.0210972591727583,0.983168071272775,NA,0.000605798355690177,0.000597371565113501,"SD3D R7","ZT6"
"33032","Kng2",2.32509963712287,0.0259760946869137,0.0210755083211118,0.983185422083665,NA,0.000605798355690177,0.000597371565113501,"SD3D R7","ZT6"
"33033","Gm49706",53.811215284599,-0.00523940357821486,-0.0210632146988763,0.983195228798113,0.993498675779481,0.0133275638251839,0.0137395459976105,"SD3D R7","ZT6"
"33034","Gm36200",1.66250452798188,0.0281400698740977,0.0210176944346016,0.983231540675642,NA,0.00043271311120727,0.000426693975081072,"SD3D R7","ZT6"
