"","Gene_without_dots","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SD3D_1_FC_clean_L009","SD3D_2_FC_clean_L010","SD3D_3_FC_clean_L011","SD3D_4_FC_clean_L012","R7_1_FC_clean_L013","R7_2_FC_clean_L014","R7_3_FC_clean_L015","R7_4_FC_clean_L016","SYMBOL"
"40","ENSMUSG00000000223",110,"ENSMUSG00000000223.14",1348.8692826556,-0.347368701933143,0.0913329286402082,-3.80332380779716,0.000142767545312894,0.0200839048213706,1714.91083774399,1460.54448874981,1538.15116979289,1283.45313669637,1273.95530879062,1136.53852221902,1417.16875770423,1171.54797155732,1169.99749251387,1146.63372065287,1163.58123883129,1232.69804209886,1513.32277865611,1456.18608613788,1482.68694365067,1420.53202669381,"Drp2"
"41","ENSMUSG00000000244",15615,"ENSMUSG00000000244.18",1.93370506322751,0.306660358820642,1.06008426971267,0.289279227682305,0.772367707014952,NA,0,3.59076702827243,1.02748909137802,2.2576132571616,2.27086507805814,0.991743911185881,1.05758862515241,1.02677298120712,3.07894076977333,2.96543203617122,1.83965413253958,0.929636532502914,0,2.84411344948805,3.40456244236665,3.6541016763828,"Tspan32"
"42","ENSMUSG00000000247",14371,"ENSMUSG00000000247.12",861.443669946079,-0.0251106021305245,0.179987354106466,-0.139513146660687,0.889044668001006,0.964590102587935,966.001349325318,763.037993507891,991.526973179785,589.237060119177,1054.81682875801,716.039103876206,919.044515257446,1000.07688369573,877.4981193854,681.06089097399,760.696983805118,933.355078632925,821.835033735663,699.65190857406,1216.27993253548,792.940063775068,"Lhx2"
"43","ENSMUSG00000000248",15616,"ENSMUSG00000000248.17",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Clec2g"
"44","ENSMUSG00000000253",8760,"ENSMUSG00000000253.14",296.172735736014,0.12313213975684,0.155394758800997,0.792382836505616,0.428137484086731,0.762519358055875,230.875471122936,313.294423216769,291.806901951356,309.293016231139,203.242424486204,277.688295132047,268.627510788713,227.94360182798,289.420432358693,364.74814044906,298.943796537682,295.624417335927,252.374537918826,408.604298909783,384.715555987431,321.560947521687,"Gmpr"
"45","ENSMUSG00000000263",15617,"ENSMUSG00000000263.16",0.544756501821887,-0.115813122029445,2.355749866544,-0.0491618926415769,0.96079027979173,NA,1.14863418469122,0,0,0,1.13543253902907,0,0,1.02677298120712,0,0,0,0.929636532502914,2.77334657053655,0,1.70228122118332,0,"Glra1"
"46","ENSMUSG00000000266",5472,"ENSMUSG00000000266.12",217.741668128002,0.19616088893481,0.154778742334204,1.26736324366335,0.205025436263317,0.583797022893958,204.456884875038,212.752946425141,202.415351001469,213.344452801771,225.951075266785,192.398318770061,207.287370529873,305.97834839972,257.604711071036,203.626333150424,217.079187639671,276.102050153365,233.885560781915,168.750731336291,180.441809445432,181.791558400044,"Mid2"
"47","ENSMUSG00000000275",1125,"ENSMUSG00000000275.17",73.3031418721731,-0.512969986370087,0.210328054792262,-2.43890424830268,0.01473187117023,0.203824014615668,107.971613360975,83.485333407334,53.4294327516568,80.1452706292367,79.480277732035,80.3312568060563,61.3401402588399,73.9276546469123,67.7366969350133,55.3547313418628,52.4301427773782,52.0596458201632,89.671539114015,65.4146093382251,85.1140610591662,84.9578639759002,"Trim25"
"48","ENSMUSG00000000276",9640,"ENSMUSG00000000276.12",1967.44720568082,0.0752953343416865,0.110166060960643,0.683471240462939,0.494309117107327,0.798178465800996,1845.85513479879,1862.71039591632,1971.75156635441,2100.70913578887,1742.88894740962,2190.76229980961,2061.24023042205,2052.51918943302,1928.44323546803,2116.32999648086,2237.9392522344,1914.1216204235,2243.63737556407,1736.8052798207,1517.58370868493,1955.8579222839,"Dgke"
"49","ENSMUSG00000000278",10651,"ENSMUSG00000000278.11",342.50478524209,-0.067161208806202,0.119470360435458,-0.562157915665491,0.5740084317251,0.840797615843126,345.738889592058,357.281319313107,370.923561987464,342.028408459982,314.514813311053,322.316771135411,331.025239672705,346.022494666798,324.315094416125,423.068303827094,316.420510796808,289.116961608406,386.419622161426,364.994559350966,298.750354317673,347.139659256366,"Scpep1"
"50","ENSMUSG00000000282",12802,"ENSMUSG00000000282.13",523.005683669586,0.0332972973395749,0.106832600632106,0.311677307699726,0.755285775322767,0.919078388212906,560.533482129316,500.014308686936,461.342602028729,511.349402747102,460.985610845803,429.425113543486,524.563958075596,520.573901472008,560.367220098747,507.088878185278,518.782465376163,493.636998759047,490.882342984969,576.406992429577,664.740816872088,587.396844478536,"Mnt"
"51","ENSMUSG00000000290",15390,"ENSMUSG00000000290.14",128.705297895562,0.0044329529318177,0.178999686079626,0.024765143609502,0.980242293896041,0.993229008271596,110.268881730357,128.369921260739,146.930940067056,115.138276115241,137.387337222518,130.910196276536,125.853046393137,145.80176333141,134.447080280102,149.260079153951,122.336999813882,97.611835912806,88.7470902571695,132.725294309442,133.629075862891,159.866948341748,"Itgb2"
"52","ENSMUSG00000000295",9134,"ENSMUSG00000000295.14",87.2511937351088,-0.15476133193712,0.208270053914991,-0.743080097344615,0.457433188515756,0.78079903453292,125.201126131343,78.0991828649253,75.0067036705951,82.4028838863983,93.1054682003838,63.4716103158964,81.4343241367357,106.78439004554,92.3682230932,77.1012329404517,61.6284134400761,92.0340167177885,97.0671299687791,100.492008548578,88.5186235015328,81.3037622995174,"Hddc2"
"53","ENSMUSG00000000296",7708,"ENSMUSG00000000296.9",185.966331097259,-0.121797345160229,0.13013767000168,-0.935911524761866,0.349318742912845,0.706400486480645,188.37600628936,197.492186554984,207.552796458359,187.381900344413,139.658202300576,195.373550503619,185.078009401672,149.908855256239,169.341742337533,171.995058097931,196.842992181735,179.419850773062,178.418629371185,197.191865831171,208.529449594957,222.900202259351,"Tpd52l1"
