"","feature","ave_expr","log_fc","stat","pvalue","padj","rate1","rate2","group1","group2"
"26491","Gm50027",0.826071037413432,-0.554026302095938,-0.282812872852962,0.777320285911953,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26492","Gm50352",0.826071037413432,-0.554026302095938,-0.282812872852962,0.777320285911953,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26493","Gm48840",14.7797275844676,0.132655333703539,0.282789181058844,0.777338448233171,NA,0.00365387809333998,0.00366956818569722,"SD6h ZT0-ZT6","ZT6"
"26494","ENSMUSG00000121195",6.13689539419299,-0.199088251432183,-0.28273458258352,0.777380304329791,NA,0.00141172562697226,0.00170677590032429,"SD6h ZT0-ZT6","ZT6"
"26495","Gm44023",0.829623488786265,-0.553156923420124,-0.282712255392764,0.777397420910634,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26496","Gm15815",0.829623488786265,-0.553156923420124,-0.282712255392764,0.777397420910634,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26497","4933429O19Rik",0.829623488786265,-0.553156923420124,-0.282712255392764,0.777397420910634,NA,0.00016608536787909,0.000170677590032429,"SD6h ZT0-ZT6","ZT6"
"26498","Gm49015",0.829623488786265,-0.553156923420124,-0.282712255392764,0.777397420910634,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26499","A730085E03Rik",0.829623488786265,-0.553156923420124,-0.282712255392764,0.777397420910634,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26500","Lig1",130.973323353831,0.0459484631353097,0.282688026494026,0.777415995510446,0.905417805666146,0.0308088357415712,0.0325140809011777,"SD6h ZT0-ZT6","ZT6"
"26501","Macrod2os2",135.450428125679,0.042473741852098,0.282681533155759,0.777420973519757,0.905417805666146,0.0319714333167248,0.0329407748762587,"SD6h ZT0-ZT6","ZT6"
"26502","Gm6330",5.64373591266851,0.20528228518548,0.282645254249357,0.777448786305443,NA,0.00141172562697226,0.00136542072025943,"SD6h ZT0-ZT6","ZT6"
"26503","Gm13262",0.828042913744808,-0.553306995703565,-0.282637848451099,0.777454463906338,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26504","Gm43616",0.828042913744808,-0.553306995703565,-0.282637848451099,0.777454463906338,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26505","Gm16567",0.828042913744808,-0.553306995703565,-0.282637848451099,0.777454463906338,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26506","Gm16117",0.828042913744808,-0.553306995703565,-0.282637848451099,0.777454463906338,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26507","Casp7",86.9576634324113,-0.053051115759961,-0.282635661060315,0.777456140855707,0.905417805666146,0.0200132868294303,0.0218467315241509,"SD6h ZT0-ZT6","ZT6"
"26508","Clca4c-ps",10.2843258780894,-0.151287642408026,-0.282581429576528,0.777497717412665,NA,0.00232519515030726,0.00273084144051886,"SD6h ZT0-ZT6","ZT6"
"26509","Serpinb6e",0.827968446821352,-0.553182091685232,-0.282567774872677,0.777508185889247,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26510","Gm25828",0.827968446821352,-0.553182091685232,-0.282567774872677,0.777508185889247,NA,0.00016608536787909,0.000256016385048643,"SD6h ZT0-ZT6","ZT6"
"26511","ENSMUSG00000120511",9.94835077279498,-0.159295875706893,-0.282537136078367,0.777531675487513,NA,0.00215910978242817,0.00256016385048643,"SD6h ZT0-ZT6","ZT6"
"26512","Gm49737",5.65076317429843,0.205682216547329,0.282522241322812,0.777543094803538,NA,0.00141172562697226,0.00136542072025943,"SD6h ZT0-ZT6","ZT6"
"26513","Gpat2",5.80009118081998,-0.21549074001628,-0.282439795118119,0.777606304448558,NA,0.00124564025909317,0.00162143710530807,"SD6h ZT0-ZT6","ZT6"
