"","Gene_without_dots","X","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","NS_1_FC_clean_L001","NS_2_FC_clean_L002","NS_3_FC_clean_L003","NS_4_FC_clean_L004","SD1D_1_FC_clean_L005","SD1D_2_FC_clean_L006","SD1D_3_FC_clean_L007","SD1D_4_FC_clean_L008","SYMBOL"
"60","ENSMUSG00000000320",14212,"ENSMUSG00000000320.11",13.7791563912429,-1.03379990053293,0.574449876475571,-1.79963464676086,0.0719183465901643,NA,32.7220701793553,22.1406851486632,11.6388212000288,7.48889460288572,8.62067066851228,2.82378257251496,16.0521136923134,8.74621306566928,"Alox12"
"61","ENSMUSG00000000326",8437,"ENSMUSG00000000326.14",1308.01620284348,0.0801151090516062,0.115155053400956,0.695715096172596,0.486607269578118,0.818330922116462,1082.00978726401,1291.82382194315,1294.8188585032,1418.61060620378,1117.4544354059,1479.66206799784,1376.46874911587,1403.28129631405,"Comt"
"62","ENSMUSG00000000339",8805,"ENSMUSG00000000339.15",476.380782990676,-0.0727927847445541,0.112520508518244,-0.646929041675556,0.517677868943974,0.834252942145926,469.016339237426,526.267054687455,488.830490401209,468.590833723421,447.197290929074,436.745037882314,547.778379750194,426.620837314313,"Rtca"
"63","ENSMUSG00000000340",2011,"ENSMUSG00000000340.11",175.977631764683,0.37860859577221,0.198449941379271,1.90782921446485,0.0564132935379464,0.397462110502474,179.971385986454,131.992546078569,160.033791500396,140.149313282576,258.620120055368,155.308041488323,149.485308759668,232.260546966106,"Dbt"
"64","ENSMUSG00000000346",6951,"ENSMUSG00000000346.10",1335.94411369617,0.101980168321919,0.113060742704527,0.901994502091979,0.367059788299054,0.749293461698596,1114.73185744337,1348.02709962822,1441.27402527023,1249.57555659579,1420.2554926374,1163.39841987616,1422.61857598127,1527.6718821369,"Dazap2"
"65","ENSMUSG00000000355",8571,"ENSMUSG00000000355.14",150.783312009892,-0.121520162539965,0.17982284806392,-0.675777098674188,0.499182176962122,0.824744942282702,155.97520118826,137.10193495903,162.943496800403,173.314417952498,118.534221692044,187.310910643492,153.498337182747,117.587975660665,"Mcts1"
"66","ENSMUSG00000000359",14213,"ENSMUSG00000000359.4",6.5126045275997,-0.121090376258059,0.765410287323097,-0.158203225464285,0.874296662210136,NA,15.2702994170325,0.851564813410121,4.84950883334533,6.41905251675919,3.2327515006921,3.76504343001995,7.0227997403871,10.6898159691513,"Rem1"
"67","ENSMUSG00000000365",14214,"ENSMUSG00000000365.10",7.24012544271897,0.343044649129736,0.640729027648113,0.535397390046352,0.592375094505583,NA,11.9980923990969,3.40625925364049,3.87960706667626,6.41905251675919,12.9310060027684,8.47134771754489,4.01302842307834,6.80261016218722,"Rnf17"
"68","ENSMUSG00000000374",1098,"ENSMUSG00000000374.9",1024.03566187247,0.228757750381741,0.0999865138589009,2.28788605135848,0.0221441578189289,0.285625452269378,921.671643385174,943.533813258414,998.028917902469,908.295931121425,1102.36826173601,956.321031225067,1103.58281634654,1258.48288000464,"Trappc10"
"69","ENSMUSG00000000378",10019,"ENSMUSG00000000378.16",538.744883765666,0.0540057898951046,0.107470272812485,0.502518403292175,0.6153029103619,0.871167872046774,548.640043340523,532.228008381326,583.880863534778,449.333676173143,550.645338951222,520.517254200258,537.745808692498,586.968076851583,"Ccm2"
"70","ENSMUSG00000000381",14215,"ENSMUSG00000000381.11",0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,"Wap"
"71","ENSMUSG00000000384",2026,"ENSMUSG00000000384.16",269.105610143608,-0.239589155632118,0.125895315987548,-1.90308236452431,0.0570297987279234,0.398461668543734,265.048768452778,325.297758722666,303.579252967418,270.670047790012,234.91327571696,224.020084086187,268.872904346249,260.442789066596,"Tbrg4"
"72","ENSMUSG00000000385",14216,"ENSMUSG00000000385.9",1.26315012065321,-0.0325128193496469,1.56632417152553,-0.0207574012715265,0.983439179270929,NA,1.09073567264518,0.851564813410121,0,3.20952625837959,0,0,3.00977131730876,1.94360290348206,"Tmprss2"
